"CellTypes","gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
B-cell_age.DEG.wilcox.csv,"mt-Cytb",3.66987582563984e-51,0.257720478077578,0.966,0.922,1.13960654013594e-46
B-cell_age.DEG.wilcox.csv,"Rpl36",8.0076683927507e-51,-0.298963609532742,0.954,0.951,2.48662126600087e-46
B-cell_age.DEG.wilcox.csv,"Rpl37a",5.57332606476442e-50,-0.305595609285616,0.992,0.988,1.7306849428913e-45
B-cell_age.DEG.wilcox.csv,"Rpl21",2.86337440133218e-47,-0.346862124460489,0.914,0.918,8.89163652845682e-43
B-cell_age.DEG.wilcox.csv,"Rpl9",2.84064675595448e-45,-0.56184454440921,0.272,0.441,8.82106037126543e-41
B-cell_age.DEG.wilcox.csv,"Hspa8",3.95842369221576e-45,0.252296205872296,0.933,0.81,1.22920930914376e-40
B-cell_age.DEG.wilcox.csv,"Rpl36a",1.5729880756856e-44,-0.455974724252467,0.661,0.735,4.8845998714265e-40
B-cell_age.DEG.wilcox.csv,"Rps26",2.22841440387067e-41,-0.293924784653339,0.899,0.912,6.91989524833959e-37
B-cell_age.DEG.wilcox.csv,"Snrpg",3.97394221875887e-41,-0.635899960614951,0.123,0.273,1.23402827719119e-36
B-cell_age.DEG.wilcox.csv,"Rpl29",2.31442725291088e-40,-0.429273115872557,0.594,0.677,7.18699094846416e-36
B-cell_age.DEG.wilcox.csv,"Rpl28",5.33640944375287e-39,-0.257597337764205,0.883,0.913,1.65711522456858e-34
B-cell_age.DEG.wilcox.csv,"Rpl10-ps3",9.87208271363213e-38,-0.615966250758551,0.189,0.335,3.06557784506419e-33
B-cell_age.DEG.wilcox.csv,"Rps27",2.41185199241095e-36,-0.57169431039441,0.26,0.401,7.48952399203373e-32
B-cell_age.DEG.wilcox.csv,"Gm11808",8.56735830544374e-36,-0.602257913135207,0.126,0.262,2.66042177458945e-31
B-cell_age.DEG.wilcox.csv,"Rpl7a",9.45085915075749e-36,-0.502546167972879,0.328,0.461,2.93477529208472e-31
B-cell_age.DEG.wilcox.csv,"mt-Nd4",8.34857390064572e-35,0.281026074226856,0.864,0.749,2.59248265336752e-30
B-cell_age.DEG.wilcox.csv,"Rps12-ps3",2.13683760484899e-30,-0.49707599178563,0.04,0.134,6.63552181433756e-26
B-cell_age.DEG.wilcox.csv,"Rps2",1.06883540561748e-28,-0.361081058207311,0.737,0.771,3.31905458506395e-24
B-cell_age.DEG.wilcox.csv,"mt-Nd2",1.3125927411975e-28,0.3235193996826,0.669,0.514,4.07599423924059e-24
B-cell_age.DEG.wilcox.csv,"Plac8",1.87692406763894e-27,0.326603584722037,0.625,0.476,5.8284123072392e-23
B-cell_age.DEG.wilcox.csv,"Rpl36al",3.7631505744935e-27,-0.48995603544352,0.131,0.248,1.16857114789747e-22
B-cell_age.DEG.wilcox.csv,"Gm6377",6.93820549751635e-27,0.444615820722281,0.245,0.126,2.15452095314375e-22
B-cell_age.DEG.wilcox.csv,"Rpl9-ps6",3.66474769895814e-21,-0.473635487286949,0.105,0.199,1.13801410295747e-16
B-cell_age.DEG.wilcox.csv,"Gm8186",2.02271554212191e-20,-0.394518691580952,0.044,0.117,6.28113857295117e-16
B-cell_age.DEG.wilcox.csv,"Atp5e",3.22091712064912e-20,-0.298607524018142,0.444,0.54,1.00019139347517e-15
B-cell_age.DEG.wilcox.csv,"Gapdh",3.52738979975354e-20,-0.423775072049791,0.101,0.192,1.09536035451747e-15
B-cell_age.DEG.wilcox.csv,"Gm10073",5.40590605860109e-20,-0.416275336131058,0.221,0.32,1.6786960083774e-15
B-cell_age.DEG.wilcox.csv,"Eif3e",2.33450475014821e-19,0.274399507218813,0.55,0.412,7.24933760063522e-15
B-cell_age.DEG.wilcox.csv,"Rpl27-ps3",2.41470043579909e-18,-0.396897599197697,0.079,0.16,7.49836926328692e-14
B-cell_age.DEG.wilcox.csv,"Atp5k",3.08816340432386e-16,-0.380937111186735,0.087,0.165,9.58967381944689e-12
B-cell_age.DEG.wilcox.csv,"Ifi27l2a",8.38981263006478e-16,-0.40003061729015,0.311,0.403,2.60528851601402e-11
B-cell_age.DEG.wilcox.csv,"AW112010",2.61232588081201e-14,0.301661076642296,0.284,0.189,8.11205555768555e-10
B-cell_age.DEG.wilcox.csv,"Wdr89",3.72760171336723e-14,-0.350516748172305,0.094,0.166,1.15753216005193e-09
B-cell_age.DEG.wilcox.csv,"Grcc10",1.29121282277155e-13,-0.330712298396493,0.059,0.12,4.00960317855249e-09
B-cell_age.DEG.wilcox.csv,"Ndufa3",1.83746414855861e-13,-0.320099596887555,0.202,0.285,5.70587742051905e-09
B-cell_age.DEG.wilcox.csv,"Rpl13a-ps1",1.88434136749751e-12,-0.32990889135464,0.056,0.112,5.85144524849002e-08
B-cell_age.DEG.wilcox.csv,"Tomm7",1.24616914753456e-11,-0.260627661178436,0.226,0.303,3.86972905383907e-07
B-cell_age.DEG.wilcox.csv,"Rab20",5.97563627165700e-11,0.258687081845206,0.109,0.058,1.85561433143765e-06
B-cell_age.DEG.wilcox.csv,"Pet100",2.03253945771375e-10,-0.301846373170569,0.073,0.127,6.31164477803851e-06
B-cell_age.DEG.wilcox.csv,"Cox17",1.02150622629869e-09,-0.258524028560267,0.083,0.138,3.17208328452532e-05
B-cell_age.DEG.wilcox.csv,"Uqcr10",2.11393774510831e-09,-0.257085230303997,0.201,0.266,6.56441087988485e-05
B-cell_age.DEG.wilcox.csv,"Actb",2.17194514131105e-08,-0.295801168752969,0.965,0.967,0.000674454124731322
B-cell_age.DEG.wilcox.csv,"Jun",3.4012018028894e-08,0.255536015571669,0.341,0.266,0.00105617519585124
B-cell_age.DEG.wilcox.csv,"Ucp2",4.78614623933864e-08,-0.257621492338356,0.149,0.204,0.00148624199170183
B-cell_age.DEG.wilcox.csv,"Igha",0.956299248499205,0.278542319817271,0.278,0.273,1
B-early_age.DEG.wilcox.csv,"Ighg1",1.57425009993355e-15,1.40018231176594,0.603,0.126,4.88851883532365e-11
B-early_age.DEG.wilcox.csv,"Cfl1",1.28650306765849e-08,-0.450705850783327,0.952,0.987,0.000399497797599991
B-early_age.DEG.wilcox.csv,"B2m",5.57251084939697e-07,0.665985413498136,0.905,0.848,0.0173043179406324
B-early_age.DEG.wilcox.csv,"Fos",1.70432512885248e-06,0.790177232274642,0.556,0.269,0.0529244082262561
B-early_age.DEG.wilcox.csv,"Map2k6",6.81234446426569e-06,0.25839050171402,0.111,0.004,0.211543732648842
B-early_age.DEG.wilcox.csv,"Cotl1",1.38145841122865e-05,-0.506442864875114,0.603,0.843,0.428984280438832
B-early_age.DEG.wilcox.csv,"Nrgn",1.77433684507664e-05,0.584444964552903,0.159,0.022,0.55098482050165
B-early_age.DEG.wilcox.csv,"Serpinb6b",4.4226202381071e-05,0.43808065663038,0.111,0.009,1
B-early_age.DEG.wilcox.csv,"Atg10",4.87798427866246e-05,0.363046337740609,0.111,0.009,1
B-early_age.DEG.wilcox.csv,"D8Ertd738e",6.74701871237358e-05,-0.560660098765708,0.349,0.619,1
B-early_age.DEG.wilcox.csv,"Emp2",0.000144339015725017,0.717442949138062,0.175,0.04,1
B-early_age.DEG.wilcox.csv,"Hdac1",0.000172373755257601,-0.636888786252286,0.032,0.247,1
B-early_age.DEG.wilcox.csv,"Cbfa2t3",0.000228540098913357,0.375198298518651,0.222,0.063,1
B-early_age.DEG.wilcox.csv,"Meis3",0.000362715256619973,0.358790556775589,0.127,0.022,1
B-early_age.DEG.wilcox.csv,"Hagh",0.000376720774120959,0.329019946431596,0.19,0.049,1
B-early_age.DEG.wilcox.csv,"Gngt2",0.000431649062442833,-0.592327373704755,0.238,0.466,1
B-early_age.DEG.wilcox.csv,"H2-K1",0.000488370102633599,0.516992757772518,0.698,0.57,1
B-early_age.DEG.wilcox.csv,"Il9r",0.000644267794925217,0.336338732340193,0.111,0.018,1
B-early_age.DEG.wilcox.csv,"Pcbp1",0.000678090213011043,-0.565879823177818,0.222,0.448,1
B-early_age.DEG.wilcox.csv,"Ly6d",0.00068394520579477,0.800990139028352,0.476,0.256,1
B-early_age.DEG.wilcox.csv,"C130026I21Rik",0.000763613464221807,0.331944686010976,0.143,0.031,1
B-early_age.DEG.wilcox.csv,"Blvrb",0.000905375954295,-0.438991890437329,0.254,0.498,1
B-early_age.DEG.wilcox.csv,"Angel2",0.00100494720631097,0.418773891867641,0.19,0.058,1
B-early_age.DEG.wilcox.csv,"Klf2",0.00111248003371097,0.758698228694129,0.524,0.332,1
B-early_age.DEG.wilcox.csv,"Ankrd13c",0.00115109168185447,0.370158040834514,0.127,0.027,1
B-early_age.DEG.wilcox.csv,"Tufm",0.00131771278310816,-0.518429031223966,0.032,0.206,1
B-early_age.DEG.wilcox.csv,"Rars2",0.00142813840919102,0.381176519577774,0.143,0.036,1
B-early_age.DEG.wilcox.csv,"Serf2",0.00145767606393528,-0.264069957671976,0.81,0.946,1
B-early_age.DEG.wilcox.csv,"Susd3",0.00148285714531826,-0.633786593096254,0.079,0.26,1
B-early_age.DEG.wilcox.csv,"Nr3c1",0.00175906447290215,0.381247188849285,0.27,0.108,1
B-early_age.DEG.wilcox.csv,"Coro1c",0.0018052108884574,0.455082718624153,0.175,0.054,1
B-early_age.DEG.wilcox.csv,"Rhno1",0.0021852584766582,-0.443418029774811,0,0.135,1
B-early_age.DEG.wilcox.csv,"Irak1bp1",0.00223578160190291,0.596703526532928,0.222,0.09,1
B-early_age.DEG.wilcox.csv,"Calr",0.00235047167978954,0.446832457384085,0.667,0.489,1
B-early_age.DEG.wilcox.csv,"H2-Aa",0.00249273094980641,0.279387651824978,0.984,0.969,1
B-early_age.DEG.wilcox.csv,"Usp48",0.00288639841310813,0.339085561595549,0.143,0.04,1
B-early_age.DEG.wilcox.csv,"Smdt1",0.0029720384392974,-0.369615120903825,0.46,0.646,1
B-early_age.DEG.wilcox.csv,"Ifi27",0.0030942927914992,0.404145853732889,0.349,0.179,1
B-early_age.DEG.wilcox.csv,"Tsc22d4",0.00314843045205712,-0.556318750847121,0.063,0.22,1
B-early_age.DEG.wilcox.csv,"Rubcn",0.00331777649097303,-0.437077103883767,0.016,0.152,1
B-early_age.DEG.wilcox.csv,"Iglc2",0.00352577542873531,-0.639760209320937,0.429,0.619,1
B-early_age.DEG.wilcox.csv,"Rgs13",0.00369797033191132,0.442862276258943,0.698,0.614,1
B-early_age.DEG.wilcox.csv,"Nt5e",0.00388333029548519,-0.509483221942998,0.063,0.233,1
B-early_age.DEG.wilcox.csv,"Ctss",0.00417716988989768,0.432946655565185,0.635,0.475,1
B-early_age.DEG.wilcox.csv,"H2-Oa",0.00426524408616664,0.482245427498604,0.524,0.35,1
B-early_age.DEG.wilcox.csv,"Zmat5",0.00460046717754314,-0.476930207066828,0.048,0.197,1
B-early_age.DEG.wilcox.csv,"Brox",0.00482232647907942,0.412612435520812,0.19,0.072,1
B-early_age.DEG.wilcox.csv,"Brd8",0.00488520095987319,-0.443221151634133,0.016,0.148,1
B-early_age.DEG.wilcox.csv,"Nhp2",0.00505120795619407,0.504153882852499,0.46,0.265,1
B-early_age.DEG.wilcox.csv,"Luc7l3",0.005071510508859,-0.437088504288933,0.111,0.287,1
B-early_age.DEG.wilcox.csv,"Anxa2",0.00507939358729189,-0.386823492653039,0.46,0.637,1
B-early_age.DEG.wilcox.csv,"Rgs2",0.00544539213957474,-0.367499525755881,0.476,0.646,1
B-early_age.DEG.wilcox.csv,"Itgb1bp1",0.00558723475586132,-0.478051001565452,0.048,0.188,1
B-early_age.DEG.wilcox.csv,"Rsrp1",0.00571637474359476,-0.373622336100186,0.365,0.538,1
B-early_age.DEG.wilcox.csv,"Rbm14",0.00575959110998206,0.34490389844921,0.159,0.054,1
B-early_age.DEG.wilcox.csv,"Ctsc",0.00580448096795895,-0.464061568571439,0.063,0.211,1
B-early_age.DEG.wilcox.csv,"Stard4",0.00598861610433928,0.30832522212891,0.127,0.036,1
B-early_age.DEG.wilcox.csv,"H2-T22",0.00616795937181519,0.427444629075571,0.238,0.108,1
B-early_age.DEG.wilcox.csv,"Cd72",0.00621718449013701,-0.48555817249695,0.079,0.238,1
B-early_age.DEG.wilcox.csv,"Uqcrfs1",0.00625739078631473,0.372512451168718,0.603,0.413,1
B-early_age.DEG.wilcox.csv,"Junb",0.00668151778591427,0.528847763788911,0.667,0.529,1
B-early_age.DEG.wilcox.csv,"Lst1",0.00685534815637145,-0.545397098991732,0.079,0.224,1
B-early_age.DEG.wilcox.csv,"Rbm26",0.0068967617934869,0.471254194808376,0.175,0.067,1
B-early_age.DEG.wilcox.csv,"Psmb1",0.00702009225323749,-0.254541141404063,0.714,0.789,1
B-early_age.DEG.wilcox.csv,"Brd9",0.00769356201166537,0.36683657068816,0.206,0.085,1
B-early_age.DEG.wilcox.csv,"Aldoa",0.00791832016669539,-0.375454174528526,0.413,0.565,1
B-early_age.DEG.wilcox.csv,"Rras2",0.00798491945812105,-0.423444287216969,0.111,0.265,1
B-early_age.DEG.wilcox.csv,"Cryz",0.00808221168297406,0.490911038367697,0.159,0.058,1
B-early_age.DEG.wilcox.csv,"Ifrd1",0.00867442065972461,0.439232736097427,0.254,0.121,1
B-early_age.DEG.wilcox.csv,"Mrpl12",0.00877685589979364,-0.459710344164266,0.159,0.323,1
B-early_age.DEG.wilcox.csv,"Tnfrsf13c",0.00887017166424592,-0.410078233528568,0.492,0.623,1
B-early_age.DEG.wilcox.csv,"Ell2",0.0091647289286483,0.346254898563304,0.127,0.04,1
B-early_age.DEG.wilcox.csv,"Plk4",0.0092779835571413,0.415001196727846,0.127,0.04,1
B-early_age.DEG.wilcox.csv,"Rps27l",0.00930337208099272,0.314425117943941,0.651,0.507,1
B-early_age.DEG.wilcox.csv,"Gnb2",0.00938182013052404,-0.268924187499036,0.603,0.762,1
B-early_age.DEG.wilcox.csv,"Pus3",0.00939248539933787,0.363626544513702,0.127,0.04,1
B-early_age.DEG.wilcox.csv,"Exosc5",0.00952738449550119,-0.356010192376087,0.032,0.161,1
B-early_age.DEG.wilcox.csv,"Tmem234",0.00954755578308937,-0.509853949538525,0.302,0.453,1
B-early_age.DEG.wilcox.csv,"Lrrc8d",0.00963706315023522,0.254065586807992,0.111,0.031,1
B-early_age.DEG.wilcox.csv,"Dcaf8",0.0098031770528238,0.287257841520087,0.127,0.04,1
B-early_age.DEG.wilcox.csv,"Emc7",0.0104350347967319,0.375129757023148,0.222,0.099,1
B-early_age.DEG.wilcox.csv,"Picalm",0.0104810820670484,0.300723229594138,0.127,0.04,1
B-early_age.DEG.wilcox.csv,"Arid1a",0.0108014755087011,-0.427194473996479,0.016,0.126,1
B-early_age.DEG.wilcox.csv,"Cyp4f18",0.0108609413499247,-0.498077886611608,0.048,0.175,1
B-early_age.DEG.wilcox.csv,"Serpinb1a",0.0109544970261329,0.276917005388654,0.143,0.049,1
B-early_age.DEG.wilcox.csv,"Ncoa7",0.010999936676883,0.335408642516588,0.127,0.04,1
B-early_age.DEG.wilcox.csv,"Psmb8",0.0113602547288968,0.276796354229708,0.952,0.812,1
B-early_age.DEG.wilcox.csv,"Phospho2",0.0115817958310231,0.331756211986888,0.143,0.049,1
B-early_age.DEG.wilcox.csv,"Rsu1",0.0117110139788714,0.267831922152557,0.143,0.049,1
B-early_age.DEG.wilcox.csv,"Btg1",0.0118999904992873,0.335697087236203,0.889,0.807,1
B-early_age.DEG.wilcox.csv,"Gm2447",0.0119014603411881,0.303820373115014,0.317,0.17,1
B-early_age.DEG.wilcox.csv,"Ergic2",0.0120504554817687,0.335759228162881,0.302,0.161,1
B-early_age.DEG.wilcox.csv,"Sec61g",0.012074797159886,-0.252986557291246,0.587,0.704,1
B-early_age.DEG.wilcox.csv,"Irf1",0.0122125687290588,0.289121978434748,0.159,0.058,1
B-early_age.DEG.wilcox.csv,"Plac8",0.0125484159652936,0.446702473151897,0.254,0.135,1
B-early_age.DEG.wilcox.csv,"Xpa",0.012991871242559,0.292808882492742,0.159,0.058,1
B-early_age.DEG.wilcox.csv,"Cdc123",0.0130336605856063,-0.438036942144922,0.063,0.188,1
B-early_age.DEG.wilcox.csv,"Pcif1",0.0135137076759394,-0.421856001414669,0.032,0.148,1
B-early_age.DEG.wilcox.csv,"Ints13",0.0135650744393993,0.255064648951748,0.19,0.081,1
B-early_age.DEG.wilcox.csv,"Zfp638",0.0138315955247756,0.424506348214683,0.19,0.085,1
B-early_age.DEG.wilcox.csv,"Tceal9",0.014077307276935,-0.401799669360693,0.159,0.323,1
B-early_age.DEG.wilcox.csv,"Chmp1a",0.014317104376722,-0.347407250065352,0.063,0.202,1
B-early_age.DEG.wilcox.csv,"Ddrgk1",0.014340467477235,0.273625290299357,0.159,0.063,1
B-early_age.DEG.wilcox.csv,"Ppp1r15a",0.0144067769205654,0.51487387216716,0.413,0.26,1
B-early_age.DEG.wilcox.csv,"Mtf2",0.014456418095651,-0.363889078830958,0.27,0.43,1
B-early_age.DEG.wilcox.csv,"Rbm27",0.0146626938931792,0.354052859921302,0.222,0.103,1
B-early_age.DEG.wilcox.csv,"Med20",0.0147745158938981,0.333806937040917,0.159,0.063,1
B-early_age.DEG.wilcox.csv,"Slamf7",0.0148893950638826,0.400476037157119,0.429,0.265,1
B-early_age.DEG.wilcox.csv,"Pnrc1",0.0148971062130398,0.4697918300573,0.508,0.368,1
B-early_age.DEG.wilcox.csv,"Myl4",0.0154026433841801,-0.347633006642685,0.175,0.354,1
B-early_age.DEG.wilcox.csv,"Orc4",0.0154140045634209,-0.439416652493098,0.032,0.139,1
B-early_age.DEG.wilcox.csv,"Batf",0.0154171399518455,0.389033180507827,0.143,0.054,1
B-early_age.DEG.wilcox.csv,"Cd69",0.0156961564755931,0.375131246294842,0.365,0.22,1
B-early_age.DEG.wilcox.csv,"1110004F10Rik",0.0158292885833502,0.450824816667239,0.397,0.26,1
B-early_age.DEG.wilcox.csv,"Samsn1",0.0160488264145299,0.364266281493284,0.175,0.072,1
B-early_age.DEG.wilcox.csv,"Cd83",0.0160602625570437,0.277592381960958,0.587,0.426,1
B-early_age.DEG.wilcox.csv,"Malt1",0.0160767035795452,0.253277164921586,0.143,0.054,1
B-early_age.DEG.wilcox.csv,"Csrp2",0.0161001620239618,-0.41544486041509,0.143,0.291,1
B-early_age.DEG.wilcox.csv,"Strada",0.0166830386919812,0.376244703326705,0.111,0.036,1
B-early_age.DEG.wilcox.csv,"Ost4",0.0168796156347832,-0.377763123570033,0.286,0.439,1
B-early_age.DEG.wilcox.csv,"Cetn2",0.016968417943536,0.379991311076951,0.317,0.188,1
B-early_age.DEG.wilcox.csv,"Ccdc12",0.0172729288865999,-0.340367103912567,0.365,0.534,1
B-early_age.DEG.wilcox.csv,"Ccnd3",0.017371289347082,-0.329091805824528,0.27,0.457,1
B-early_age.DEG.wilcox.csv,"Smim8",0.0176350653238499,0.366332858978894,0.222,0.108,1
B-early_age.DEG.wilcox.csv,"Ighg2b",0.0177195359308213,-0.89812512390533,0.254,0.435,1
B-early_age.DEG.wilcox.csv,"Sash3",0.0179434559294956,-0.412206877898533,0.159,0.309,1
B-early_age.DEG.wilcox.csv,"H2-Q7",0.0179984870301618,0.4077871933988,0.222,0.112,1
B-early_age.DEG.wilcox.csv,"Gpsm3",0.0181578269946461,-0.436556793716837,0.365,0.475,1
B-early_age.DEG.wilcox.csv,"Usp15",0.0187099510346651,-0.394611368172553,0.048,0.157,1
B-early_age.DEG.wilcox.csv,"Ppp2r2d",0.0191666944184329,0.343263973858489,0.127,0.045,1
B-early_age.DEG.wilcox.csv,"Gadd45gip1",0.0194807600402857,-0.337309160274206,0.222,0.368,1
B-early_age.DEG.wilcox.csv,"Nit2",0.019748101039789,0.29345628764613,0.111,0.036,1
B-early_age.DEG.wilcox.csv,"Ubl5",0.0200937305742332,-0.274900832532785,0.429,0.601,1
B-early_age.DEG.wilcox.csv,"Ctdsp1",0.0204604371205918,-0.336482888597542,0.016,0.112,1
B-early_age.DEG.wilcox.csv,"Psph",0.020531846990325,-0.388104600082027,0.063,0.184,1
B-early_age.DEG.wilcox.csv,"Pttg1ip",0.020579397926405,0.300510430820965,0.143,0.054,1
B-early_age.DEG.wilcox.csv,"Txndc5",0.0207542331047721,0.414936812921946,0.333,0.206,1
B-early_age.DEG.wilcox.csv,"Dbi",0.0211209162961656,0.257247601750396,0.73,0.614,1
B-early_age.DEG.wilcox.csv,"Cnot7",0.0218747175655,0.34171935002696,0.159,0.067,1
B-early_age.DEG.wilcox.csv,"Cd48",0.0220914182971979,0.432578197765375,0.397,0.269,1
B-early_age.DEG.wilcox.csv,"Bhlhe40",0.022283928231336,0.30895390004561,0.159,0.067,1
B-early_age.DEG.wilcox.csv,"Thoc7",0.0224534429510249,-0.442422148704889,0.19,0.318,1
B-early_age.DEG.wilcox.csv,"Ddost",0.0228965259719545,0.352998840970519,0.254,0.135,1
B-early_age.DEG.wilcox.csv,"Thap3",0.0231223573776964,-0.374382152445285,0.016,0.108,1
B-early_age.DEG.wilcox.csv,"Sod2",0.0232139090348696,-0.37886417318305,0.095,0.224,1
B-early_age.DEG.wilcox.csv,"Eif3l",0.0232451672479223,-0.372087402621361,0.286,0.417,1
B-early_age.DEG.wilcox.csv,"Rnf121",0.023792313530892,0.311105323797125,0.286,0.157,1
B-early_age.DEG.wilcox.csv,"Gtf2b",0.0238207597799269,0.346398998490398,0.397,0.26,1
B-early_age.DEG.wilcox.csv,"Dnajb1",0.0241336707366191,0.307395283118795,0.444,0.309,1
B-early_age.DEG.wilcox.csv,"Pigyl",0.0245041079186342,-0.329611373007751,0.032,0.135,1
B-early_age.DEG.wilcox.csv,"Puf60",0.0246460869064244,-0.368838486168313,0.206,0.359,1
B-early_age.DEG.wilcox.csv,"Pola2",0.0247095800838779,0.32222670563479,0.127,0.049,1
B-early_age.DEG.wilcox.csv,"Fmnl1",0.024818330156706,-0.423755934798874,0.032,0.13,1
B-early_age.DEG.wilcox.csv,"Crcp",0.0249773319441758,-0.353155075576254,0.063,0.175,1
B-early_age.DEG.wilcox.csv,"Cd200",0.0258077105994259,0.28369816410369,0.143,0.058,1
B-early_age.DEG.wilcox.csv,"Ncapg",0.0260188671476614,0.358855577983779,0.127,0.049,1
B-early_age.DEG.wilcox.csv,"Pafah1b1",0.0261541345132163,0.410656575156666,0.46,0.35,1
B-early_age.DEG.wilcox.csv,"Snrpf",0.0261908944644746,-0.289596744658779,0.476,0.646,1
B-early_age.DEG.wilcox.csv,"Zmynd8",0.0266086144745563,-0.3367495309404,0.016,0.103,1
B-early_age.DEG.wilcox.csv,"Gm15013",0.026662217245585,0.412410751910088,0.175,0.081,1
B-early_age.DEG.wilcox.csv,"Ptbp1",0.0266733180530286,-0.347480207250667,0.111,0.247,1
B-early_age.DEG.wilcox.csv,"Haao",0.0269494080242091,-0.372424644092397,0.032,0.13,1
B-early_age.DEG.wilcox.csv,"Ap2s1",0.0274604433478417,-0.361627304483155,0.429,0.538,1
B-early_age.DEG.wilcox.csv,"Eef2kmt",0.0277745671163947,0.266208760803997,0.111,0.04,1
B-early_age.DEG.wilcox.csv,"Dnpep",0.0278096600430141,0.312185352491718,0.175,0.081,1
B-early_age.DEG.wilcox.csv,"Unc93b1",0.0279669748692736,0.257575427347174,0.524,0.404,1
B-early_age.DEG.wilcox.csv,"AW112010",0.0280120165711319,0.439611659000026,0.302,0.193,1
B-early_age.DEG.wilcox.csv,"Ilkap",0.0280328308904135,-0.463289404296543,0.095,0.211,1
B-early_age.DEG.wilcox.csv,"Dhx15",0.0281144563261835,-0.329277557746415,0.016,0.103,1
B-early_age.DEG.wilcox.csv,"Anapc5",0.0282348017613977,-0.358306256834939,0.19,0.323,1
B-early_age.DEG.wilcox.csv,"Pycr2",0.0286432814518922,-0.465957579673643,0.206,0.327,1
B-early_age.DEG.wilcox.csv,"Apobec1",0.0287228081680861,-0.320432044067214,0.127,0.274,1
B-early_age.DEG.wilcox.csv,"Pbrm1",0.0287257209983461,0.395825538973839,0.238,0.13,1
B-early_age.DEG.wilcox.csv,"Cd40",0.0291291200029194,0.343602065645634,0.238,0.13,1
B-early_age.DEG.wilcox.csv,"Anxa7",0.0292045879029632,0.301166814152999,0.238,0.126,1
B-early_age.DEG.wilcox.csv,"Nedd1",0.0293466889722886,0.317891540061759,0.111,0.04,1
B-early_age.DEG.wilcox.csv,"Fcrla",0.0293520628933568,-0.329550754168861,0.286,0.439,1
B-early_age.DEG.wilcox.csv,"Tmem109",0.0294079244371339,0.308275970149502,0.127,0.049,1
B-early_age.DEG.wilcox.csv,"Kansl2",0.0296294860606347,-0.370352647867825,0.032,0.126,1
B-early_age.DEG.wilcox.csv,"Rps21",0.0298812679857197,-0.375487128537284,0.73,0.807,1
B-early_age.DEG.wilcox.csv,"Heatr6",0.0304416064883999,-0.33268792467096,0.032,0.13,1
B-early_age.DEG.wilcox.csv,"Cyp51",0.0304471473529608,0.30105387879448,0.222,0.117,1
B-early_age.DEG.wilcox.csv,"Washc3",0.0304599502198046,0.411387497719404,0.302,0.179,1
B-early_age.DEG.wilcox.csv,"Ier2",0.0308646087033876,0.384175218054635,0.317,0.197,1
