Ingenuity Canonical Pathways	-log(p-value)	Ratio	z-score	Molecules	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	2.06E00	2.91E-02	2.828	AKT3,CD40,IFIT2,IFIT3,IRF5,IRF7,ISG15,TNF	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	2.06E00	2.7E-02	3.000	AKT3,H2-Q8,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,NOS2	
LXR/RXR Activation	2.04E00	4.13E-02	-0.447	C3,C4A/C4B,CD36,NOS2,TNF	
Retinol Biosynthesis	2.02E00	7.14E-02	NaN	CES1,Ces1e,LRAT	
Role of MAPK Signaling in the Pathogenesis of Influenza	2E00	5E-02	NaN	AKT3,CCL5,CXCL10,TNF	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.99E00	6.98E-02	NaN	CCL5,CXCL10,TNF	
FXR/RXR Activation	1.97E00	3.97E-02	NaN	AKT3,C3,C4A/C4B,SLC10A2,TNF	
Atherosclerosis Signaling	1.97E00	3.97E-02	NaN	ALOX15,CD36,CD40,ICAM1,TNF	
14-3-3-mediated Signaling	1.96E00	3.94E-02	NaN	AKT3,PLCL1,TNF,TUBA8,TUBB3	
Gα12/13 Signaling	1.92E00	3.85E-02	1.342	AKT3,CDH15,CDH23,CDH26,MYL10	
FAT10 Cancer Signaling Pathway	1.91E00	6.52E-02	NaN	AKT3,TNF,UBD	
Stearate Biosynthesis I (Animals)	1.88E00	6.38E-02	NaN	ACOT1,BDH2,Ces1e	
Sertoli Cell-Sertoli Cell Junction Signaling	1.87E00	3.24E-02	NaN	AKT3,CLDN8,NOS2,TNF,TUBA8,TUBB3	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.86E00	3.23E-02	NaN	CCL5,CD40,CXCR3,FLT4,ICAM1,TNF	
Crosstalk between Dendritic Cells and Natural Killer Cells	1.84E00	4.49E-02	NaN	CD40,HLA-A,HLA-DRB5,TNF	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	1.82E00	1.11E-01	NaN	CCL5,TNF	
FAT10 Signaling Pathway	1.82E00	1.11E-01	NaN	TNF,UBD	
PPARα/RXRα Activation	1.82E00	3.16E-02	-2.236	CD36,CYP2C18,Cyp2c40 (includes others),CYP2C8,CYP2C9,PLCL1	
Primary Immunodeficiency Signaling	1.81E00	6E-02	NaN	CD40,CIITA,TAP1	
Phagosome Maturation	1.67E00	3.31E-02	NaN	HLA-A,HLA-DRB5,TAP1,TUBA8,TUBB3	
Epithelial Adherens Junction Signaling	1.65E00	3.29E-02	NaN	AKT3,SNAI1,SNAI2,TUBA8,TUBB3	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	1.62E00	8.7E-02	NaN	CCL5,TNF	
HOTAIR Regulatory Pathway	1.57E00	3.12E-02	0.447	AKT3,ICAM1,IRF1,SNAI2,WNT7B	
Axonal Guidance Signaling	1.49E00	2.07E-02	NaN	ADAM8,AKT3,MME,MYL10,PLCL1,SEMA3D,SEMA4F,TUBA8,TUBB3,WNT7B	
Airway Inflammation in Asthma	1.38E00	2.5E-01	NaN	TNF	
Acetate Conversion to Acetyl-CoA	1.38E00	2.5E-01	NaN	ACSS3	
IL-6 Signaling	1.37E00	3.2E-02	0.000	ABCB1,AKT3,SOCS1,TNF	
Inhibition of Angiogenesis by TSP1	1.31E00	5.88E-02	NaN	AKT3,CD36	
