Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Senescence Pathway	8.83E00	3.71E-01	-0.198	ACVR1C,ACVR2A,AKT1,AKT2,AKT3,ASXL2,ATF3,ATM,BMPR2,CACNA1A,CACNA1D,CAMK4,CAPN2,CAPN5,CAPN7,CAPN8,CAPN9,CAPNS1,CAT,CCNB2,CCND1,CDC25B,CDK1,CDKN1A,CDKN1B,CEBPB,DLAT,E2F2,E2F4,EIF4EBP1,ELF3,ETS1,FZR1,GADD45B,GADD45G,HBP1,IKBKE,IKBKG,ITSN2,JUN,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK15,MAPKAPK2,MAPKAPK3,MRAS,MTOR,NF1,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,PCGF6,PDHB,PDHX,PDK2,PDK3,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PML,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PPP3CA,PTEN,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RASSF5,RBL2,RNF2,RPS6KA4,RPS6KA5,SERPINE1,SIRT1,SMAD5,SMAD6,SOD2,SQSTM1,TGFB1,TGFBR1,TLR2,TMEM173,VHL,YPEL3	
LPS/IL-1 Mediated Inhibition of RXR Function	8.75E00	3.88E-01	2.846	ABCA1,ABCB1,ABCB9,ABCC2,ABCC4,ABCG1,ABCG5,ABCG8,ACOX3,ACSL1,ACSL3,ALAS1,ALDH1A1,ALDH1L1,ALDH3A2,ALDH4A1,ALDH5A1,ALDH6A1,APOC2,CAT,CD14,CES2,CHST11,CHST15,CHST2,CPT1B,CYP2B6,CYP2C8,CYP2C9,CYP3A5,CYP4A11,ECSIT,FABP1,FABP2,FMO1,FMO2,FMO4,FMO5,GSTA3,GSTA5,GSTK1,GSTM1,GSTM2,Gstm3,GSTM4,GSTM5,Gstm6,HMGCS2,HS3ST1,HS3ST3B1,IL18,IL1RAP,IL4I1,JUN,MAOA,MAOB,MAP2K4,MAP3K1,MGST2,MGST3,MYD88,NR0B2,NR1H2,NR1H3,NR1H4,NR1I3,NR5A2,PAPSS2,PPARA,PPARGC1B,SLC10A1,SLC27A1,SLC27A2,SLC27A3,SLC27A5,SLC27A6,SMOX,SULT1B1,SULT1C2,Sult1d1,SULT4A1,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TRAF2,UST	
RAR Activation	8.72E00	4.02E-01	NaN	ACTB,ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,ADH1C,ADH4,ADH7,AKT1,AKT2,AKT3,ALDH1A1,ARID2,CARM1,CSNK2A2,DHRS3,DHRS4,DHRS9,ERCC3,FOS,GTF2H4,IL3RA,JUN,LRAT,MAP2K1,MAP2K4,MAP3K1,MAPK11,MAPK13,MAPKAPK2,NCOR1,NFKB2,NRIP1,NSD1,PBRM1,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PML,PRKACB,PRKAR1B,PRKD3,PRMT1,PSMC5,PTEN,RAC1,RBP1,RBP2,RBP4,RBP7,RDH10,RDH13,RDH16,RDH5,Rdh7,REL,RELA,RELB,RPL7A,SCAND1,SDR16C5,SDR9C7,SMAD5,SMAD6,SMARCA2,SMARCA4,SMARCD3,SMARCE1,SORBS3,SRA1,STAT5B,TGFB1,TNIP1,TRIM24	
PI3K/AKT Signaling	8.61E00	4.11E-01	2.177	AKT1,AKT2,AKT3,BCL2,CCND1,CDC37,CDKN1A,CDKN1B,EIF4EBP1,EPM2A,GAB2,GDF15,GHR,GYS1,HSP90AB1,IKBKE,IKBKG,IL11RA,IL12RB1,IL12RB2,IL17RB,IL17RC,IL17RD,IL18R1,IL2RB,IL2RG,IL3RA,IL4R,INPP5D,INPP5J,INPP5K,ITGA2,ITGA4,ITGA5,JAK3,MAP2K1,MAP3K8,MAPK8IP1,MRAS,MTOR,NFKB2,NFKBIA,NFKBIB,NFKBIE,NOS3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5D,PTEN,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,SFN,SOS2,YWHAE,YWHAG,YWHAH	
Xenobiotic Metabolism General Signaling Pathway	8.57E00	4.34E-01	-2.840	AHR,AKT1,AKT2,AKT3,CUL3,GSTA3,GSTA5,GSTK1,GSTM1,GSTM2,Gstm3,GSTM4,GSTM5,Gstm6,HMOX1,KEAP1,MAF,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MAPK11,MAPK13,MGST2,MGST3,MRAS,NQO2,NR1H2,NR1H3,NR1H4,NR1I3,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PPARA,PRKD3,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,UGT1A1,UGT1A3,UGT1A6,UGT1A8 (includes others),UGT2B10,UGT2B17,UGT2B28,UGT2B7	
Rac Signaling	8.54E00	4.64E-01	1.697	ABI2,ARFIP2,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,BAIAP2,CFL1,IQGAP1,IQGAP2,IQGAP3,ITGA2,ITGA4,ITGA5,JUN,LIMK1,LIMK2,MAP2K1,MAP2K4,MAP3K1,MRAS,NCF2,NFKB2,NOX1,PAK1,PAK3,PAK4,PAK6,PARD6A,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PIKFYVE,PIP5K1A,PLD1,PTK2B,RAC1,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RELA,RHOA,WASF1	
Acute Phase Response Signaling	8.52E00	4.08E-01	2.517	AGT,AKT1,AKT2,AKT3,ALB,AMBP,APOA2,APOH,C1R,C2,C3,C4A/C4B,CEBPB,CFB,ECSIT,FGA,FOS,HMOX1,HMOX2,HNF1A,IKBKE,IKBKG,IL18,IL1RAP,JUN,KLKB1,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MAPK11,MAPK13,MRAS,MTOR,MYD88,NFKB2,NFKBIA,NFKBIB,NFKBIE,NR3C1,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RBP1,RBP2,RBP4,RBP7,RELA,SERPINE1,SERPING1,SOCS1,SOCS3,SOD2,SOS2,STAT3,TCF4,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B,TRADD,TRAF2,TTR	
Endocannabinoid Developing Neuron Pathway	8.05E00	4.52E-01	1.313	ADCY1,ADCY4,ADCY5,ADCY7,ADCY8,ADCY9,AKT1,AKT2,AKT3,ATF2,ATF4,CCND1,CDKN1B,CNR1,CREB3,CREB3L3,CREB3L4,GNAI1,GNAI2,GNB1,GNB1L,GNG5,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAPK11,MAPK13,MAPK15,MGLL,MRAS,MTOR,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PRKACB,PRKAR1B,RAC1,RAC2,RAF1,RALB,RAP1GAP,RAP2A,RAP2B,RASD1,RASD2,RHOA,STAT3	
Death Receptor Signaling	8E00	4.84E-01	3.618	ACTB,ACTG1,ARHGDIB,BCL2,BID,BIRC3,CASP3,CASP7,CASP8,DAXX,FAS,GAS2,HTRA2,IKBKE,IKBKG,LIMK1,LMNA,MAP2K4,NAIP,Naip1 (includes others),NFKB2,NFKBIA,NFKBIB,NFKBIE,PARP10,PARP11,PARP12,PARP14,PARP3,PARP8,PARP9,RELA,TNF,TNFRSF10A,TNFRSF1A,TNFRSF1B,TNFRSF21,TNFSF10,TNFSF12,TNFSF15,TNKS,TRADD,TRAF2,XIAP	
Germ Cell-Sertoli Cell Junction Signaling	7.87E00	4.04E-01	NaN	ACTB,ACTG1,ACTN4,AKT1,CDH1,CFL1,CTNND1,GSN,IQGAP1,ITGA2,KEAP1,LIMK1,LIMK2,MAP2K1,MAP2K3,MAP2K4,MAP2K6,MAP3K1,MAP3K12,MAP3K13,MAP3K15,MAP3K3,MAP3K4,MAP3K6,MAP3K8,MRAS,PAK1,PAK3,PAK4,PAK6,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,RAC1,RAC2,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,SORBS1,TGFB1,TGFBR1,TNF,TNFRSF1A,TUBA1B,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB2A,TUBB2B,TUBB3,TUBG1,VCL,ZYX	
FLT3 Signaling in Hematopoietic Progenitor Cells	7.86E00	5E-01	1.151	AKT1,AKT2,AKT3,ATF2,ATF4,CREB3,CREB3L3,CREB3L4,EIF4EBP1,GAB2,INPP5D,MAP2K1,MAPK11,MAPK13,MRAS,MTOR,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PTPN11,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,SOS2,STAT1,STAT2,STAT3,STAT5B,STAT6	
Neuroinflammation Signaling Pathway	7.82E00	3.53E-01	2.800	ACVR1C,ACVR2A,AGER,AKT1,AKT2,AKT3,ATF2,ATF4,B2M,BACE1,BACE2,BCL2,BIRC3,BIRC5,BIRC6,BMPR2,CALB2,CASP3,CASP8,CCL5,CD200,CD40,CREB3,CREB3L3,CREB3L4,CSF1R,CX3CL1,CXCL10,FAS,FOS,FZD1,GAD2,GJB1,GLS,GRIN2D,GRINA,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-E,HMOX1,ICAM1,Ifna4,IFNGR2,IKBKE,IKBKG,IL18,IL34,IRAK2,IRF7,JAK3,JUN,KCNJ3,KLK3,MAP2K4,MAPK11,MAPK13,MAPK15,MFGE8,MYD88,NAIP,Naip1 (includes others),NCF2,NFAT5,NFATC1,NFATC3,NFATC4,NFKB2,NOS2,NOX1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLA2G12A,PLA2G1B,PLA2G4C,PLA2G5,PLCG2,PPP3CA,PSEN1,PYCARD,RELA,S100B,S100G,SNCA,SOD2,STAT1,TGFB1,TGFBR1,TICAM1,TIRAP,TLR1,TLR2,TLR5,TLR9,TNF,TNFRSF1A,XIAP,ZBTB12	
Huntington's Disease Signaling	7.74E00	3.71E-01	-1.540	AKT1,AKT2,AKT3,ARFIP2,ATF2,ATF4,ATP5F1A,ATP5F1B,CACNA1B,CAPN2,CAPN5,CAPN7,CAPN8,CAPN9,CAPNS1,CASP14,CASP3,CASP4,CASP7,CASP8,CLTB,CPLX2,CREB3,CREB3L3,CREB3L4,DNAJB1,DNM2,DNM3,EGF,GLS,GNA14,GNA15,GNB1,GNB1L,GNB2,GNG5,HAP1,HDAC1,HDAC5,HDAC8,HSPA14,HSPA1A/HSPA1B,Hspa1b,HSPA1L,HSPA2,HSPA5,HSPA9,HTT,JUN,MAP2K4,MTOR,NAPB,NCOR1,NSF,NTRK1,PACSIN1,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PLCB1,PLCB2,PLCB4,POLR2B,POLR2C,POLR2G,POLR2I,PRKD3,PSME1,PSME2,PSME3,PSMF1,RASA1,REST,SDHB,SGK1,SNAP25,SNCA,SOS2,STX1A,TGM2,Ubb,UBC,UBD,UBE2S	
Integrin Signaling	7.72E00	3.8E-01	1.673	ACTB,ACTG1,ACTN4,AKT1,AKT2,AKT3,ARF1,ARF3,ARF4,ARF6,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5L,BCAR3,CAPN2,CAPN5,CAPN7,CAPN8,CAPN9,CAPNS1,GRB7,GSN,ITGA2,ITGA4,ITGA5,ITGA7,ITGAM,ITGB7,MAP2K1,MAP2K4,MRAS,MYL9,MYLK,MYLK3,NEDD9,PAK1,PAK3,PAK4,PAK6,PFN1,PFN2,PIK3C3,PIK3CA,PIK3CD,PIK3CG,PIK3R1,PIK3R3,PIK3R5,PIKFYVE,PLCG2,Ppp1r12b,PTEN,RAC1,RAC2,RAF1,RALB,RAP2A,RAP2B,RASD1,RASD2,RHOA,RHOB,RHOC,RHOD,RHOF,RHOU,RHOV,RND1,RND2,SOS2,TLN2,TSPAN1,TSPAN3,TSPAN4,TSPAN6,VASP,VCL,ZYX	
