Expr Log Ratio,Expr False Discovery Rate (q-value),ID,Flags,Symbol,Entrez Gene Name,Location,Type(s),Drug(s)
 , ,1700018F24Rik,D,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other,other, 
 , ,1700123K08Rik,D,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other,other, 
 , ,4930449I24Rik,D,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other,other, 
 , ,4933421I07Rik,D,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other,other, 
 , ,Gm3402,D,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other,other, 
 , ,Gm3404,D,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other,other, 
 , ,Gm3409,D,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other,other, 
 , ,Gm3415,D,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other,other, 
 , ,Gm4871,D,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other,other, 
 , ,Gm6370,D,1700001J03Rik (includes others),RIKEN cDNA 1700001J03 gene,Other,other, 
0.228,0.973,1700001J11Rik, ,1700001J11Rik,ring finger protein 19A pseudogene,Other,other, 
0.182,0.927,1700001K19Rik, ,1700001K19Rik,RIKEN cDNA 1700001K19 gene,Other,other, 
-0.178,0.634,1700001L05Rik, ,1700001L05Rik,RIKEN cDNA 1700001L05 gene,Other,other, 
 , ,1700003E24Rik, ,1700003E24Rik/1700019M22Rik,NFX-like protein,Other,other, 
 , ,1700019M22Rik, ,1700003E24Rik/1700019M22Rik,NFX-like protein,Other,other, 
0.232,0.966,1700003F12Rik, ,1700003F12Rik,RIKEN cDNA 1700003F12 gene,Other,other, 
 , ,1700003H04Rik, ,1700003H04Rik,RIKEN cDNA 1700003H04 gene,Other,other, 
-0.984, ,1700006A11Rik, ,1700006A11Rik,RIKEN cDNA 1700006A11 gene,Other,other, 
-1.63, ,1700007K09Rik, ,1700007K09Rik,RIKEN cDNA 1700007K09 gene,Other,other, 
 , ,1700008P02Rik, ,1700008P02Rik,RIKEN cDNA 1700008P02 gene,Other,other, 
 , ,1700009N14Rik, ,1700009N14Rik,RIKEN cDNA 1700009N14 gene,Other,transporter, 
-0.939, ,1700010B08Rik, ,1700010B08Rik,RIKEN cDNA 1700010B08 gene,Other,other, 
-0.984, ,1700010D01Rik, ,1700010D01Rik/Gm5941,predicted gene 5941,Other,other, 
 , ,Gm5941, ,1700010D01Rik/Gm5941,predicted gene 5941,Other,other, 
 , ,1700010L04Rik, ,1700010L04Rik,RIKEN cDNA 1700010L04 gene,Other,other, 
-0.535,0.924,1700011I03Rik, ,1700011I03Rik,RIKEN cDNA 1700011I03 gene,Other,other, 
 , ,1700011M02Rik, ,1700011M02Rik,RIKEN cDNA 1700011M02 gene,Other,other, 
 , ,1700012A03Rik, ,1700012A03Rik,RIKEN cDNA 1700012A03 gene,Other,other, 
1.836, ,1700012B07Rik, ,1700012B07Rik,RIKEN cDNA 1700012B07 gene,Other,other, 
0.459, ,1700013D24Rik, ,1700013D24Rik,RIKEN cDNA 1700013D24 gene,Other,other, 
 , ,1700013G24Rik, ,1700013G24Rik,RIKEN cDNA 1700013G24 gene,Other,other, 
 , ,1700013H16Rik, ,1700013H16Rik,RIKEN cDNA 1700013H16 gene,Nucleus,other, 
1.556, ,1700014D04Rik, ,1700014D04Rik,RIKEN cDNA 1700014D04 gene,Other,other, 
0.233, ,1700016D06Rik, ,1700016D06Rik,RIKEN cDNA 1700016D06 gene,Other,other, 
-2.673, ,1700017D01Rik, ,1700017D01Rik,RIKEN cDNA 1700017D01 gene,Other,other, 
0.459, ,1700017G19Rik, ,1700017G19Rik,RIKEN cDNA 1700017G19 gene,Other,other, 
 , ,1700018B24Rik, ,1700018B24Rik,enhancer of rudimentary homolog pseudogene,Other,other, 
-0.404,0.953,1700019A02Rik, ,1700019A02Rik,RIKEN cDNA 1700019A02 gene,Other,other, 
-0.353, ,1700020N01Rik, ,1700020N01Rik,RIKEN cDNA 1700020N01 gene,Other,other, 
 , ,1700020N15Rik, ,1700020N15Rik/Gm6812,RIKEN cDNA 1700020N15 gene,Other,other, 
 , ,Gm6812, ,1700020N15Rik/Gm6812,RIKEN cDNA 1700020N15 gene,Other,other, 
-0.293, ,1700023F06Rik, ,1700023F06Rik,RIKEN cDNA 1700023F06 gene,Other,other, 
0.459, ,1700024P04Rik, ,1700024P04Rik,RIKEN cDNA 1700024P04 gene,Nucleus,other, 
 , ,1700025C18Rik, ,1700025C18Rik,RIKEN cDNA 1700025C18 gene,Other,other, 
 , ,1700025F22Rik, ,1700025F22Rik,RIKEN cDNA 1700025F22 gene,Other,other, 
-0.984, ,1700028I16Rik, ,1700028I16Rik,RIKEN cDNA 1700028I16 gene,Other,other, 
-0.354,0.86,1700028J19Rik, ,1700028J19Rik,RIKEN cDNA 1700028J19 gene,Other,other, 
 , ,1700029F12Rik, ,1700029F12Rik,RIKEN cDNA 1700029F12 gene,Other,other, 
0.069, ,1700029H14Rik, ,1700029H14Rik,RIKEN cDNA 1700029H14 gene,Other,other, 
0.459, ,1700029P11Rik, ,1700029P11Rik,RIKEN cDNA 1700029P11 gene,Extracellular Space,other, 
-3.882,2.89E-08,1700030C10Rik, ,1700030C10Rik,RIKEN cDNA 1700030C10 gene,Other,other, 
-1.269, ,1700030F18Rik, ,1700030F18Rik,RIKEN cDNA 1700030F18 gene,Other,other, 
1.275, ,1700031F05Rik, ,1700031F05Rik,RIKEN cDNA 1700031F05 gene,Other,other, 
-0.282,0.806,1700034H15Rik, ,1700034H15Rik,RIKEN cDNA 1700034H15 gene,Other,other, 
-0.428,0.673,1700034I23Rik,D,1700034I23Rik/Gm10731,FUN14 domain containing 2 pseudogene,Cytoplasm,other, 
0.629,0.929,Gm10731,D,1700034I23Rik/Gm10731,FUN14 domain containing 2 pseudogene,Cytoplasm,other, 
0.459, ,1700036A12Rik, ,1700036A12Rik,RIKEN cDNA 1700036A12 gene,Other,other, 
 , ,1700042G07Rik, ,1700042G07Rik,RIKEN cDNA 1700042G07 gene,Other,other, 
 , ,1700047G07Rik, ,1700047G07Rik,RIKEN cDNA 1700047G07 gene,Other,other, 
 , ,1700047I17Rik2, ,1700047I17Rik2/Fam177a,"family with sequence similarity 177, member A",Other,other, 
 , ,Fam177a, ,1700047I17Rik2/Fam177a,"family with sequence similarity 177, member A",Other,other, 
-1.923,0.0353,1700048O20Rik, ,1700048O20Rik,RIKEN cDNA 1700048O20 gene,Other,other, 
 , ,1700049E17Rik1, ,1700049E17Rik1,"RIKEN cDNA 1700049E17 gene, gene 1",Other,other, 
 , ,1700049E17Rik2, ,1700049E17Rik2,"tandem duplication of RIKEN cDNA 1700049E17 gene, gene 2",Other,other, 
 , ,1700054O19Rik, ,1700054O19Rik,RIKEN cDNA 1700054O19 gene,Other,other, 
-0.291,0.925,1700055D18Rik, ,1700055D18Rik,RIKEN cDNA 1700055D18 gene,Other,other, 
-1.652, ,1700056E22Rik, ,1700056E22Rik,RIKEN cDNA 1700056E22 gene,Other,other, 
0.938, ,1700057G04Rik, ,1700057G04Rik,RIKEN cDNA 1700057G04 gene,Other,other, 
1.114, ,1700060C20Rik, ,1700060C20Rik,RIKEN cDNA 1700060C20 gene,Other,other, 
-0.957,0.487,1700061G19Rik, ,1700061G19Rik,RIKEN cDNA 1700061G19 gene,Other,enzyme, 
-0.263, ,1700061I17Rik, ,1700061I17Rik,RIKEN cDNA 1700061I17 gene,Other,other, 
 , ,1700063H04Rik, ,1700063H04Rik,RIKEN cDNA 1700063H04 gene,Other,other, 
-0.039,0.992,1700064H15Rik, ,1700064H15Rik,RIKEN cDNA 1700064H15 gene,Other,other, 
-0.006,0.996,1700066B19Rik, ,1700066B19Rik,RIKEN cDNA 1700066B19 gene,Other,other, 
 , ,1700067P10Rik, ,1700067P10Rik,RIKEN cDNA 1700067P10 gene,Other,other, 
0.696,0.761,1700069B07Rik, ,1700069B07Rik,RIKEN cDNA 1700069B07 gene,Other,other, 
-0.984, ,1700069L16Rik, ,1700069L16Rik,RIKEN cDNA 1700069L16 gene,Other,other, 
 , ,1700074P13Rik, ,1700074P13Rik,RIKEN cDNA 1700074P13 gene,Extracellular Space,other, 
0.459, ,1700080E11Rik, ,1700080E11Rik,RIKEN cDNA 1700080E11 gene,Other,other, 
 , ,1700080O16Rik, ,1700080O16Rik,RIKEN cDNA 1700080O16 gene,Other,other, 
-0.138,0.963,1700084J12Rik, ,1700084J12Rik,ribosomal protein L7-like 1 pseudogene,Other,other, 
 , ,1700084M14Rik, ,1700084M14Rik,Gm5941 pseudogene,Other,other, 
-0.9, ,1700086D15Rik, ,1700086D15Rik,RIKEN cDNA 1700086D15 gene,Other,other, 
-0.448,0.856,1700086L19Rik, ,1700086L19Rik,RIKEN cDNA 1700086L19 gene,Other,other, 
 , ,1700091H14Rik, ,1700091H14Rik,RIKEN cDNA 1700091H14 gene,Other,other, 
-1.628, ,1700092K14Rik, ,1700092K14Rik,RIKEN cDNA 1700092K14 gene,Other,other, 
-0.457,0.821,1700092M07Rik, ,1700092M07Rik,RIKEN cDNA 1700092M07 gene,Other,other, 
 , ,1700101I19Rik, ,1700101I19Rik,RIKEN cDNA 1700101I19 gene,Other,other, 
-0.315,0.683,1700109H08Rik, ,1700109H08Rik,RIKEN cDNA 1700109H08 gene,Other,other, 
 , ,1700110I01Rik, ,1700110I01Rik,RIKEN cDNA 1700110I01 gene,Other,other, 
-1.149, ,1700119I11Rik, ,1700119I11Rik,RIKEN cDNA 1700119I11 gene,Other,other, 
0.431,0.906,1700120B22Rik, ,1700120B22Rik,RIKEN cDNA 1700120B22 gene,Other,other, 
 , ,1700123L14Rik, ,1700123L14Rik,nucleoporin 50 pseudogene,Nucleus,other, 
 , ,1700128F08Rik, ,1700128F08Rik,U1-snRNP binding protein homolog pseudogene,Other,other, 
 , ,1700129C05Rik, ,1700129C05Rik,RIKEN cDNA 1700129C05 gene,Other,other, 
 , ,1810009J06Rik, ,1810009J06Rik/Gm2663,RIKEN cDNA 1810009J06 gene,Other,other, 
 , ,Gm2663, ,1810009J06Rik/Gm2663,RIKEN cDNA 1810009J06 gene,Other,other, 
-0.058,0.97,1810024B03Rik, ,1810024B03Rik,RIKEN cDNA 1810024B03 gene,Other,kinase, 
0.054,0.958,1810032O08Rik, ,1810032O08Rik,RIKEN cDNA 1810032O08 gene,Other,other, 
0.076,0.908,1810037I17Rik, ,1810037I17Rik/Gm2036,predicted gene 2036,Other,other, 
0.591,0.906,1810062G17Rik, ,1810062G17Rik,RIKEN cDNA 1810062G17 gene,Other,other, 
0.005,0.998,1810064F22Rik, ,1810064F22Rik,RIKEN cDNA 1810064F22 gene,Other,other, 
0.55,0.841,1810065E05Rik, ,1810065E05Rik,RIKEN cDNA 1810065E05 gene,Other,other, 
0.21,0.602,2010016I18Rik, ,2010016I18Rik,RIKEN cDNA 2010016I18 gene,Other,other, 
-0.462,0.715,2010106E10Rik, ,2010106E10Rik,RIKEN cDNA 2010106E10 gene,Other,other, 
0.623,0.873,2010109A12Rik, ,2010109A12Rik,RIKEN cDNA 2010109A12 gene,Other,other, 
0.237,0.843,2010109I03Rik, ,2010109I03Rik,RIKEN cDNA 2010109I03 gene,Plasma Membrane,other, 
-0.188,0.531,2200002D01Rik, ,2200002D01Rik,RIKEN cDNA 2200002D01 gene,Nucleus,other, 
0.625,0.608,2200002J24Rik, ,2200002J24Rik,RIKEN cDNA 2200002J24 gene,Other,other, 
 , ,2210010C04Rik, ,2210010C04Rik,RIKEN cDNA 2210010C04 gene,Extracellular Space,other, 
-0.905,0.134,2210011C24Rik, ,2210011C24Rik,RIKEN cDNA 2210011C24 gene,Other,other, 
0.057,0.986,2210407C18Rik, ,2210407C18Rik,RIKEN cDNA 2210407C18 gene,Other,other, 
 , ,2210418O10Rik, ,2210418O10Rik,predicted gene 2210418O10Rik,Other,other, 
 , ,2300003K06Rik, ,2300003K06Rik,RIKEN cDNA 2300003K06 gene,Other,other, 
0.786, ,2310001K24Rik, ,2310001K24Rik,RIKEN cDNA 2310001K24 gene,Other,other, 
 , ,2310002L09Rik, ,2310002L09Rik,RIKEN cDNA 2310002L09 gene,Cytoplasm,other, 
 , ,2310003L06Rik, ,2310003L06Rik,RIKEN cDNA 2310003L06 gene,Other,other, 
-0.208,0.937,2310016G11Rik, ,2310016G11Rik,RIKEN cDNA 2310016G11 gene,Other,other, 
0.08,0.913,2310039H08Rik, ,2310039H08Rik,RIKEN cDNA 2310039H08 gene,Other,other, 
-0.984, ,2310057J18Rik, ,2310057J18Rik,RIKEN cDNA 2310057J18 gene,Cytoplasm,other, 
 , ,2310061N02Rik, ,2310061N02Rik,RIKEN cDNA 2310061N02 gene,Other,other, 
-0.263, ,2310079G19Rik, ,2310079G19Rik,RIKEN cDNA 2310079G19 gene,Other,other, 
-0.218,0.349,2410002F23Rik, ,2410002F23Rik,RIKEN cDNA 2410002F23 gene,Other,other, 
0.672,0.431,2410017I17Rik, ,2410017I17Rik,RIKEN cDNA 2410017I17 gene,Other,other, 
0.418,0.925,2410124H12Rik, ,2410124H12Rik,RIKEN cDNA 2410124H12 gene,Other,other, 
 , ,2410137M14Rik, ,2410137M14Rik,RIKEN cDNA 2410137M14 gene,Other,other, 
 , ,2410141K09Rik, ,2410141K09Rik,RIKEN cDNA 2410141K09 gene,Other,other, 
-0.081,0.886,2510002D24Rik, ,2510002D24Rik,RIKEN cDNA 2510002D24 gene,Other,other, 
0.174,0.791,2610001J05Rik, ,2610001J05Rik,RIKEN cDNA 2610001J05 gene,Other,other, 
0.064,0.925,2610002M06Rik, ,2610002M06Rik,RIKEN cDNA 2610002M06 gene,Cytoplasm,other, 
-0.016,0.987,2610008E11Rik, ,2610008E11Rik,RIKEN cDNA 2610008E11 gene,Other,other, 
-0.121,0.865,2610021A01Rik, ,2610021A01Rik,RIKEN cDNA 2610021A01 gene,Other,other, 
0.418, ,2610028H24Rik, ,2610028H24Rik,RIKEN cDNA 2610028H24 gene,Other,other, 
-1.15,0.634,2610036A22Rik, ,2610036A22Rik,RIKEN cDNA 2610036A22 gene,Other,other, 
-0.984, ,2610042L04Rik, ,2610042L04Rik,RIKEN cDNA 2610042L04 gene,Other,other, 
-0.662,0.873,2610203C22Rik, ,2610203C22Rik,RIKEN cDNA 2610203C22 gene,Other,other, 
 , ,2610303G11Rik, ,2610303G11Rik,RIKEN cDNA 2610303G11 gene,Other,other, 
-0.451,0.489,2610318N02Rik, ,2610318N02Rik,RIKEN cDNA 2610318N02 gene,Other,other, 
-2.473, ,2700046A07Rik, ,2700046A07Rik,RIKEN cDNA 2700046A07 gene,Other,other, 
-0.283,0.207,2700097O09Rik, ,2700097O09Rik,RIKEN cDNA 2700097O09 gene,Extracellular Space,other, 
-0.103,0.901,2810021J22Rik, ,2810021J22Rik,RIKEN cDNA 2810021J22 gene,Other,other, 
0.332,0.529,2810025M15Rik, ,2810025M15Rik,RIKEN cDNA 2810025M15 gene,Other,other, 
-1.616, ,2810032G03Rik, ,2810032G03Rik,RIKEN cDNA 2810032G03 gene,Other,other, 
-0.27, ,2810407A14Rik, ,2810407A14Rik,RIKEN cDNA 2810407A14 gene,Other,other, 
0.029,0.983,2810408A11Rik, ,2810408A11Rik,RIKEN cDNA 2810408A11 gene,Other,other, 
0.091,0.915,2900026A02Rik, ,2900026A02Rik,RIKEN cDNA 2900026A02 gene,Other,other, 
 , ,2900055J20Rik, ,2900055J20Rik,RIKEN cDNA 2900055J20 gene,Other,other, 
-1.171, ,2900060B14Rik, ,2900060B14Rik,RIKEN cDNA 2900060B14 gene,Other,other, 
 , ,2900097C17Rik, ,2900097C17Rik,RIKEN cDNA 2900097C17 gene,Other,other, 
 , ,3100002H09Rik, ,3100002H09Rik,RIKEN cDNA 3100002H09 gene,Other,other, 
-0.563,0.795,3110021A11Rik, ,3110021A11Rik,RIKEN cDNA 3110021A11 gene,Other,other, 
 , ,3110039M20Rik, ,3110039M20Rik,RIKEN cDNA 3110039M20 gene,Other,other, 
0.072,0.979,3110070M22Rik, ,3110070M22Rik,RIKEN cDNA 3110070M22 gene,Other,other, 
-0.984, ,3110082J24Rik, ,3110082J24Rik,RIKEN cDNA 3110082J24 gene,Other,other, 
-2.372,0.00338,3222401L13Rik, ,3222401L13Rik,RIKEN cDNA 3222401L13 gene,Other,other, 
-0.106,0.967,3300002A11Rik, ,3300002A11Rik,RIKEN cDNA 3300002A11 gene,Other,other, 
-0.133,0.924,3300002I08Rik, ,3300002I08Rik,RIKEN cDNA 3300002I08 gene,Other,other, 
1.01, ,3830403N18Rik, ,3830403N18Rik/Xlr,X-linked lymphocyte-regulated,Other,other, 
-0.32, ,Xlr, ,3830403N18Rik/Xlr,X-linked lymphocyte-regulated,Other,other, 
0.483,0.914,3830408C21Rik, ,3830408C21Rik,RIKEN cDNA 3830408C21 gene,Other,other, 
 , ,3830417A13Rik, ,3830417A13Rik,RIKEN cDNA 3830417A13 gene,Other,other, 
0.629,0.383,3930402G23Rik, ,3930402G23Rik,RIKEN cDNA 3930402G23 gene,Other,other, 
-0.38,0.667,4430402I18Rik, ,4430402I18Rik,RIKEN cDNA 4430402I18 gene,Other,other, 
-0.22,0.627,4632404H12Rik, ,4632404H12Rik,RIKEN cDNA 4632404H12 gene,Other,other, 
0.027,0.983,4632415L05Rik, ,4632415L05Rik,RRS1 ribosome biogenesis regulator homolog pseudogene,Other,other, 
-0.071,0.97,4732440D04Rik, ,4732440D04Rik,RIKEN cDNA 4732440D04 gene,Other,other, 
0.206, ,4732465J04Rik, ,4732465J04Rik,RIKEN cDNA 4732465J04 gene,Other,other, 
0.095,0.983,4732471J01Rik, ,4732471J01Rik,RIKEN cDNA 4732471J01 gene,Other,other, 
1.681, ,4833423E24Rik, ,4833423E24Rik,RIKEN cDNA 4833423E24 gene,Other,other, 
-1.829, ,4921501E09Rik, ,4921501E09Rik,RIKEN cDNA 4921501E09 gene,Extracellular Space,other, 
 , ,4921504E06Rik, ,4921504E06Rik,RIKEN cDNA 4921504E06 gene,Other,other, 
 , ,4921509C19Rik, ,4921509C19Rik (includes others),RIKEN cDNA 4921509C19 gene,Other,other, 
 , ,Gm14147, ,4921509C19Rik (includes others),RIKEN cDNA 4921509C19 gene,Other,other, 
 , ,Gm14151, ,4921509C19Rik (includes others),RIKEN cDNA 4921509C19 gene,Other,other, 
 , ,4921511C20Rik, ,4921511C20Rik,high density lipoprotein (HDL) binding protein pseudogene,Other,other, 
 , ,4921513I03Rik, ,4921513I03Rik,RIKEN cDNA 4921513I03 gene,Other,other, 
-0.263, ,4921517D22Rik, ,4921517D22Rik,RIKEN cDNA 4921517D22 gene,Other,other, 
 , ,4921524L21Rik, ,4921524L21Rik,RIKEN cDNA 4921524L21 gene,Other,other, 
 , ,4921528I07Rik, ,4921528I07Rik (includes others),predicted gene 10634,Other,other, 
-1.895, ,Gm10634, ,4921528I07Rik (includes others),predicted gene 10634,Other,other, 
 , ,4921530L21Rik, ,4921530L21Rik,RIKEN cDNA 4921530L21 gene,Other,other, 
-0.984, ,4921539E11Rik, ,4921539E11Rik,RIKEN cDNA 4921539E11 gene,Other,other, 
-0.984, ,4922502B01Rik, ,4922502B01Rik,RIKEN cDNA 4922502B01 gene,Other,other, 
1.114, ,4922502D21Rik, ,4922502D21Rik,RIKEN cDNA 4922502D21 gene,Other,other, 
 , ,4930402F06Rik, ,4930402F06Rik,RIKEN cDNA 4930402F06 gene,Other,other, 
 , ,4930402K13Rik, ,4930402K13Rik,RIKEN cDNA 4930402K13 gene,Other,other, 
1.113, ,4930404H24Rik, ,4930404H24Rik,RIKEN cDNA 4930404H24 gene,Other,other, 
-0.955, ,4930407I10Rik, ,4930407I10Rik,RIKEN cDNA 4930407I10 gene,Other,other, 
-1.469, ,4930408O17Rik, ,4930408O17Rik,RIKEN cDNA 4930408O17 gene,Other,other, 
-0.984, ,4930412O13Rik, ,4930412O13Rik,RIKEN cDNA 4930412O13 gene,Other,other, 
 , ,4930415L06Rik, ,4930415L06Rik,RIKEN cDNA 4930415L06 gene,Other,other, 
0.275,0.734,4930415O20Rik, ,4930415O20Rik,RIKEN cDNA 4930415O20 gene,Other,other, 
-3.007, ,4930423O20Rik, ,4930423O20Rik,RIKEN cDNA 4930423O20 gene,Other,other, 
 , ,4930425F17Rik, ,4930425F17Rik,RIKEN cDNA 4930425F17 gene,Other,other, 
0.296, ,4930426L09Rik, ,4930426L09Rik,RIKEN cDNA 4930426L09 gene,Other,other, 
-0.239,0.961,4930429B21Rik, ,4930429B21Rik,RIKEN cDNA 4930429B21 gene,Other,other, 
0.459, ,4930430A15Rik, ,4930430A15Rik,RIKEN cDNA 4930430A15 gene,Nucleus,transcription regulator, 
-0.343,0.925,4930430O22Rik, ,4930430O22Rik,RIKEN cDNA 4930430O22 gene,Other,other, 
 , ,4930431F12Rik, ,4930431F12Rik,RIKEN cDNA 4930431F12 gene,Other,other, 
0.716,0.866,4932431P20Rik,D,4930432E11Rik/4932431P20Rik,RIKEN cDNA 4932431P20 gene,Other,other, 
1.142, ,4930432E11Rik,D,4930432E11Rik/4932431P20Rik,RIKEN cDNA 4932431P20 gene,Other,other, 
 , ,4930432M17Rik, ,4930432M17Rik,RIKEN cDNA 4930432M17 gene,Other,transporter, 
-1.758, ,4930433I11Rik, ,4930433I11Rik,RIKEN cDNA 4930433I11 gene,Other,other, 
0.459, ,4930433N12Rik, ,4930433N12Rik,RIKEN cDNA 4930433N12 gene,Other,other, 
-0.263, ,4930438A08Rik, ,4930438A08Rik,RIKEN cDNA 4930438A08 gene,Other,other, 
-0.071,0.984,4930447A16Rik, ,4930447A16Rik,RIKEN cDNA 4930447A16 gene,Other,other, 
 , ,4930449A18Rik, ,4930449A18Rik,RIKEN cDNA 4930449A18 gene,Other,other, 
 , ,4930449E01Rik, ,4930449E01Rik,RIKEN cDNA 4930449E01 gene,Other,other, 
-0.469,0.753,4930451G09Rik, ,4930451G09Rik,RIKEN cDNA 4930451G09 gene,Other,other, 
 , ,4930455H04Rik, ,4930455H04Rik,RIKEN cDNA 4930455H04 gene,Other,other, 
1.323, ,4930467E23Rik, ,4930467E23Rik (includes others),RIKEN cDNA 4930467E23 gene,Other,other, 
-2.406, ,Gm15319, ,4930467E23Rik (includes others),RIKEN cDNA 4930467E23 gene,Other,other, 
 , ,Gm5373, ,4930467E23Rik (includes others),RIKEN cDNA 4930467E23 gene,Other,other, 
 , ,Gm7697, ,4930467E23Rik (includes others),RIKEN cDNA 4930467E23 gene,Other,other, 
 , ,4930470P17Rik, ,4930470P17Rik,RIKEN cDNA 4930470P17 gene,Other,other, 
 , ,4930474N05Rik, ,4930474N05Rik,RIKEN cDNA 4930474N05 gene,Other,other, 
 , ,4930480E11Rik, ,4930480E11Rik,RIKEN cDNA 4930480E11 gene,Other,other, 
0.389,0.521,4930481A15Rik, ,4930481A15Rik,RIKEN cDNA 4930481A15 gene,Cytoplasm,enzyme, 
 , ,4930486L24Rik, ,4930486L24Rik,RIKEN cDNA 4930486L24 gene,Plasma Membrane,peptidase, 
 , ,4930502E18Rik, ,4930502E18Rik,RIKEN cDNA 4930502E18 gene,Other,other, 
 , ,4930503B20Rik, ,4930503B20Rik,RIKEN cDNA 4930503B20 gene,Cytoplasm,other, 
 , ,4930504O13Rik, ,4930504O13Rik,RIKEN cDNA 4930504O13 gene,Other,other, 
-0.984, ,4930510E17Rik, ,4930510E17Rik,RIKEN cDNA 4930510E17 gene,Other,other, 
-0.732, ,4930512B01Rik, ,4930512B01Rik,RIKEN cDNA 4930512B01 gene,Other,other, 
 , ,4930512M02Rik, ,4930512M02Rik,RIKEN cDNA 4930512M02 gene,Other,other, 
 , ,4930513O06Rik, ,4930513O06Rik,RIKEN cDNA 4930513O06 gene,Other,other, 
