© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
GABA Receptor Signaling	6.4E-01	1.05E-02	NaN	GAD2	
Salvage Pathways of Pyrimidine Ribonucleotides	6.33E-01	1.03E-02	NaN	DAPK1	
CTLA4 Signaling in Cytotoxic T Lymphocytes	6.18E-01	9.9E-03	NaN	FYN	
FAK Signaling	5.95E-01	9.35E-03	NaN	FYN	
Oxidative Phosphorylation	5.88E-01	9.17E-03	NaN	COX6B2	
UVA-Induced MAPK Signaling	5.75E-01	8.85E-03	NaN	PARP3	
IGF-1 Signaling	5.75E-01	8.85E-03	NaN	GRB10	
T Cell Receptor Signaling	5.62E-01	8.55E-03	NaN	FYN	
Virus Entry via Endocytic Pathways	5.59E-01	8.47E-03	NaN	FYN	
Neuroprotective Role of THOP1 in Alzheimer's Disease	5.53E-01	8.33E-03	NaN	HPN	
Paxillin Signaling	5.5E-01	8.26E-03	NaN	ITGAM	
HIF1α Signaling	5.35E-01	7.94E-03	NaN	LDHB	
Natural Killer Cell Signaling	5.24E-01	7.69E-03	NaN	FYN	
Role of Tissue Factor in Cancer	5.19E-01	7.58E-03	NaN	FYN	
STAT3 Pathway	5.19E-01	7.58E-03	NaN	IL3RA	
Phagosome Formation	5.19E-01	7.58E-03	NaN	ITGAM	
CD28 Signaling in T Helper Cells	5.13E-01	7.46E-03	NaN	FYN	
Adipogenesis pathway	5.13E-01	7.46E-03	NaN	DLK1	
PI3K Signaling in B Lymphocytes	5.1E-01	7.41E-03	NaN	FYN	
GP6 Signaling Pathway	5.1E-01	7.41E-03	NaN	FYN	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	4.87E-01	6.94E-03	NaN	PTPRN	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	4.87E-01	6.94E-03	NaN	PTPRN	
Gustation Pathway	4.63E-01	6.49E-03	NaN	P2RX7	
3-phosphoinositide Degradation	4.55E-01	6.33E-03	NaN	PTPRN	
D-myo-inositol-5-phosphate Metabolism	4.46E-01	6.17E-03	NaN	PTPRN	
PKCθ Signaling in T Lymphocytes	4.35E-01	5.99E-03	NaN	FYN	
Mitochondrial Dysfunction	4.27E-01	5.85E-03	NaN	COX6B2	
Tec Kinase Signaling	4.27E-01	5.85E-03	NaN	FYN	
Wnt/β-catenin Signaling	4.25E-01	5.81E-03	NaN	SOX12	
Ephrin Receptor Signaling	4.16E-01	5.65E-03	NaN	FYN	
Granulocyte Adhesion and Diapedesis	4.1E-01	5.56E-03	NaN	ITGAM	
RAR Activation	3.91E-01	5.26E-03	NaN	IL3RA	
Role of NFAT in Regulation of the Immune Response	3.86E-01	5.18E-03	NaN	FYN	
Dendritic Cell Maturation	3.82E-01	5.1E-03	NaN	DDR2	
IL-8 Signaling	3.69E-01	4.9E-03	NaN	ITGAM	
Leukocyte Extravasation Signaling	3.55E-01	4.69E-03	NaN	ITGAM	
Opioid Signaling Pathway	3.09E-01	4.07E-03	NaN	FYN	
G-Protein Coupled Receptor Signaling	2.68E-01	3.53E-03	NaN	FYN	
Sirtuin Signaling Pathway	2.59E-01	3.42E-03	NaN	LDHB	
Axonal Guidance Signaling	-0E00	2.01E-03	NaN	FYN	
Molecular Mechanisms of Cancer	-0E00	2.54E-03	NaN	FYN	
Protein Kinase A Signaling	-0E00	2.51E-03	NaN	PTPRN	
