Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
CTLA4 Signaling in Cytotoxic T Lymphocytes	6,45E00	1,68E-01	NaN	FYN,CD3E,HLA-A,TRAT1,CD8A,CD28,CD3G,LCK,CD80,GRAP2,PIK3C3,IRS1,LAT,ZAP70,AKT3,PTPN22,LCP2
T Cell Receptor Signaling	6,19E00	1,54E-01	NaN	FYN,PTPN7,CD3E,CD4,CD8A,NFATC1,PTPRC,CD28,CD3G,LCK,GRAP2,IRS1,RASGRP1,PIK3C3,LAT,ZAP70,LCP2,ITK
Allograft Rejection Signaling	5,97E00	1,74E-01	NaN	HLA-G,IFNG,CD28,PRF1,CD40LG,H2-T10,CD80,H2-M2,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,H2-Q8
Crosstalk between Dendritic Cells and Natural Killer Cells	5,78E00	1,69E-01	NaN	IFNG,CD40LG,IL3RA,HLA-A,TNFSF10,ITGAL,HLA-G,CD28,PRF1,CD80,CD226,TNFRSF1B,HLA-DRB5,ACTA1,CAMK2B
Graft-versus-Host Disease Signaling	5,75E00	2,29E-01	NaN	HLA-G,CD28,IFNG,PRF1,CD80,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5
Autoimmune Thyroid Disease Signaling	5,65E00	2,24E-01	NaN	HLA-G,CD28,CD40LG,PRF1,CD80,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5
Caveolar-mediated Endocytosis Signaling	5,5E00	1,83E-01	NaN	ITGAD,FYN,HLA-A,CD48,ITGA5,ITGAL,ITGB7,ITGB3,ITGAE,ITGB2,ITGAM,ACTA1,ITGA4
Reelin Signaling in Neurons	5,47E00	1,6E-01	NaN	FYN,ARHGEF4,MAPK8IP2,ITGA5,VLDLR,ITGAL,ITGB3,ITGB2,LCK,PIK3C3,IRS1,LYN,ARHGEF9,ARHGEF10,ITGA4
GP6 Signaling Pathway	5,28E00	1,33E-01	1,213	FYN,LAMA5,APBB1IP,NOX1,ITGB3,COL16A1,LAMC1,GRAP2,PIK3C3,IRS1,LAT,LYN,AKT3,COL6A5,PRKCH,COL18A1,PRKD3,LCP2
TREM1 Signaling	5,23E00	1,73E-01	3,051	Naip1 (includes others),ICAM1,Nlrp1a,MYD88,CIITA,ITGA5,TLR2,NLRC5,NOD2,TLR6,TLR1,AKT3,NOD1
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	5,01E00	1,56E-01	NaN	TLR2,IFNG,CD28,CD40LG,SPP1,CD80,HLA-A,HLA-DMA,TLR1,HLA-DMB,TLR6,HLA-DQA1,HLA-DQB1,HLA-DRB5
Atherosclerosis Signaling	5E00	1,33E-01	NaN	PLA2G16,ALOX15,IFNG,CD40LG,ICAM1,PLA2G10,CCR2,PDGFB,SELPLG,ITGB2,LYZ,PLA2G2F,PLA2G5,SERPINA1,COL18A1,TNFSF14,ITGA4
Tec Kinase Signaling	4,92E00	1,17E-01	2,668	TNFRSF21,FYN,GNG2,ITGA5,TNFSF10,RHOH,STAT4,LCK,WAS,PIK3C3,IRS1,GNAO1,LYN,PRKCH,JAK3,STAT1,PRKD3,ACTA1,ITK,ITGA4
Molecular Mechanisms of Cancer	4,85E00	8,63E-02	NaN	PRKACB,FYN,Naip1 (includes others),WNT3,BMP3,FZD1,RHOH,SYNGAP1,RASGRF1,PIK3C3,AKT3,WNT4,ADCY8,PRKD3,ITGA4,CAMK2B,ARHGEF4,HAT1,ITGA5,ADCY9,RASGRP1,IRS1,ADCY1,GNAO1,PRKCH,BMP7,JAK3,ARHGEF10,ADCY7,ARHGEF9,BCL2L11,WNT11,LRP1,WNT5A
Nur77 Signaling in T Lymphocytes	4,82E00	1,86E-01	NaN	CD28,CD3G,CD3E,CD80,HLA-A,HLA-DMA,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,NFATC1
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	4,75E00	1,02E-01	NaN	IFNG,Naip1 (includes others),SPP1,WNT3,BMP3,ITGA5,FZD1,IL7,NFATC1,ITGB3,IL18RAP,DKK3,RUNX2,IRS1,PIK3C3,AKT3,SFRP5,WNT4,BMP7,TNFRSF1B,ADAMTS5,WNT11,LRP1,WNT5A
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4,54E00	8,98E-02	NaN	ICAM1,WNT3,CCL5,FZD1,NFATC1,ROR2,DKK3,PIK3C3,TLR1,SFRP5,AKT3,WNT4,TNFRSF1B,PRKD3,CAMK2B,TRAF1,MIF,MYD88,IL7,PDGFB,IL18RAP,TLR2,IRS1,TLR6,GNAO1,PRKCH,LRP1,WNT11,WNT5A
OX40 Signaling Pathway	4,35E00	1,44E-01	NaN	HLA-G,CD3G,H2-T10,CD3E,H2-M2,HLA-A,HLA-DMA,CD4,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRB5,H2-Q8
Colorectal Cancer Metastasis Signaling	4,18E00	9,41E-02	1,460	PRKACB,IFNG,MMP28,WNT3,GNG2,FZD1,BIRC5,RHOH,TLR2,ADCY9,PIK3C3,IRS1,TLR1,ADCY1,TLR6,AKT3,WNT4,JAK3,STAT1,ADCY8,ADCY7,WNT11,LRP1,WNT5A
IL-12 Signaling and Production in Macrophages	4,17E00	1,15E-01	NaN	ALOX15,IFNG,CD40LG,IL12RB1,MYD88,IRF1,TLR2,STAT4,LYZ,PIK3C3,IRS1,AKT3,SERPINA1,PRKCH,IRF8,STAT1,PRKD3
Neuroprotective Role of THOP1 in Alzheimer's Disease	4,17E00	1,25E-01	0,632	GZMA,PRKACB,IFNG,GZMK,KLK3,HLA-A,Prss32,IDE,PRSS41,HPN,HLA-G,C1R,PRSS16,SST,AGT
Dendritic Cell Maturation	4,06E00	1,02E-01	3,900	CD40LG,ICAM1,HLA-A,MYD88,HLA-DQA1,HLA-DQB1,TLR2,STAT4,CD80,DDR2,HLA-DMA,IRS1,PIK3C3,HLA-DMB,AKT3,IRF8,TNFRSF1B,COL18A1,STAT1,HLA-DRB5
Communication between Innate and Adaptive Immune Cells	4,05E00	1,35E-01	NaN	HLA-G,TLR2,CD28,IFNG,CD40LG,CD80,HLA-A,CD4,TLR6,TLR1,CCL5,CD8A,HLA-DRB5
Opioid Signaling Pathway	3,99E00	9,35E-02	0,853	PRKACB,RGS1,FYN,ITPR2,GNG2,CACNA1H,CACNA1A,ADCY9,RGS17,LCK,CACNA1B,GNAO1,PDE1B,ADCY1,LYN,AKT3,RGS11,RYR1,PRKCH,ADCY8,PRKD3,ADCY7,CAMK2B
Renin-Angiotensin Signaling	3,77E00	1,15E-01	0,000	PRKACB,ITPR2,CCL5,NOX1,ADCY9,PIK3C3,IRS1,SHC2,ADCY1,PRKCH,ADCY8,STAT1,ADCY7,PRKD3,AGT
Virus Entry via Endocytic Pathways	3,69E00	1,19E-01	NaN	FYN,HLA-A,ITGA5,ITGAL,ITGB7,ITGB3,DNM1,ITGB2,PIK3C3,IRS1,PRKCH,PRKD3,ACTA1,ITGA4
Granulocyte Adhesion and Diapedesis	3,61E00	1E-01	NaN	ICAM1,MMP28,ITGA5,THY1,CCL5,CLDN6,ITGAL,Cxcl9,ITGB3,SELPLG,IL18RAP,ITGB2,ITGAM,CLDN4,TNFRSF1B,Ccl6,MSN,ITGA4
Cdc42 Signaling	3,53E00	1,02E-01	2,646	H2-T10,CD3E,HLA-A,HLA-DQA1,ITGA5,TNK2,HLA-DQB1,HLA-G,CD3G,HLA-DMA,WAS,H2-M2,HLA-DMB,HLA-DRB5,H2-Q8,ITK,ITGA4
NF-κB Activation by Viruses	3,49E00	1,26E-01	2,309	ITGB2,LCK,CD4,IRS1,PIK3C3,AKT3,ITGA5,PRKCH,ITGAL,PRKD3,ITGA4,ITGB3
GABA Receptor Signaling	3,49E00	1,26E-01	NaN	UBD,DNM1,ADCY9,GAD2,GABRB3,CACNA1B,ABAT,ADCY1,CACNA1H,ADCY8,ADCY7,CACNA1A
IL-4 Signaling	3,45E00	1,25E-01	NaN	IL4R,HLA-A,HLA-DMA,IRS1,PIK3C3,HLA-DMB,HLA-DQA1,AKT3,HLA-DQB1,JAK3,HLA-DRB5,NFATC1
Integrin Signaling	3,36E00	9,05E-02	3,130	ITGAD,FYN,ACTN2,MYLK3,ITGA5,TNK2,ITGAL,RHOH,ITGB7,PDGFB,ITGB3,ITGAE,ITGB2,ITGAM,WAS,IRS1,PIK3C3,AKT3,ACTA1,ITGA4
MSP-RON Signaling Pathway	3,24E00	1,35E-01	NaN	TLR2,IFNG,ITGB2,ITGAM,KLK3,IL3RA,IRS1,PIK3C3,CCR2,ACTA1
Axonal Guidance Signaling	3,21E00	7,03E-02	NaN	PRKACB,FYN,WNT3,SLIT1,BMP3,SEMA4F,FZD1,NFATC1,SRGAP1,PIK3C3,ADAM19,WNT4,PLXNB1,AKT3,PRKD3,ADAMTS5,SEMA3F,ITGA4,MMP28,NRP2,EPHA1,GNG2,EFNA3,ITGA5,DPYSL5,EFNA4,PDGFB,WAS,IRS1,GNAO1,PRKCH,BMP7,WNT11,WNT5A,SEMA7A
Thrombin Signaling	3,2E00	9E-02	0,243	ARHGEF4,F2R,ITPR2,GNG2,RHOH,ADCY9,PIK3C3,IRS1,ADCY1,GNAO1,AKT3,PRKCH,GATA3,ADCY8,ARHGEF10,ADCY7,PRKD3,ARHGEF9,CAMK2B
Inflammasome pathway	3,07E00	2,5E-01	2,236	NOD2,AIM2,MYD88,PANX1,P2RX7
Paxillin Signaling	3,05E00	1,07E-01	1,633	ITGAD,ACTN2,ITGA5,ITGAL,ITGB7,ITGB3,ITGAE,ITGB2,ITGAM,PIK3C3,IRS1,ACTA1,ITGA4
α-Adrenergic Signaling	3,05E00	1,2E-01	-1,342	PRKACB,ADCY9,ITPR2,ADCY1,GNG2,PYGB,PRKCH,SLC8A1,ADCY8,PRKD3,ADCY7
IL-7 Signaling Pathway	3,01E00	1,18E-01	2,111	IL7R,FYN,IFNG,IRS1,PIK3C3,LYN,AKT3,STAT1,JAK3,IL7,NFATC1
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2,99E00	9,14E-02	NaN	IFNG,IL4R,CD40LG,ICAM1,CXCR3,BAMBI,CCL5,PDGFB,IL18RAP,COL16A1,IGF2,CD14,COL6A5,TNFRSF1B,COL18A1,STAT1,AGT
Gustation Pathway	2,98E00	9,74E-02	NaN	PRKACB,ITPR2,GNG2,CACNA1H,PANX1,CACNA1A,PDE8A,ADCY9,CACNA1B,PDE1B,ADCY1,PDE11A,ADCY8,ADCY7,P2RX7
Fc Epsilon RI Signaling	2,86E00	1,02E-01	1,155	FYN,PLA2G2F,GRAP2,PLA2G10,IRS1,PIK3C3,PLA2G5,LAT,LYN,AKT3,PRKCH,PRKD3,LCP2
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	2,85E00	1,07E-01	-1,155	PRKACB,ADCY9,ITPR2,CACNA1B,ADCY1,GNG2,CACNA1H,PRKCH,ADCY8,PRKD3,ADCY7,CACNA1A
MIF-mediated Glucocorticoid Regulation	2,74E00	1,76E-01	0,816	MIF,PLA2G2F,PLA2G10,PLA2G5,CD14,CD74
Phagosome Formation	2,7E00	9,85E-02	NaN	ITGA5,RHOH,TLR2,ITGB2,ITGAM,PIK3C3,IRS1,TLR1,TLR6,PRKCH,PRKD3,ITGA4,FCAMR
Macropinocytosis Signaling	2,61E00	1,12E-01	0,447	ITGB2,IRS1,PIK3C3,CD14,ITGA5,PRKCH,PRKD3,PDGFB,ITGB7,ITGB3
3-phosphoinositide Biosynthesis	2,61E00	8,42E-02	0,728	FYN,PTPN7,TRAT1,PTPRF,PTPRC,CD28,LCK,TNS3,CD80,NUDT11,PIK3C3,IRS1,ICOS,DUSP23,DUSP12,PTPRN,PTPN22
Interferon Signaling	2,61E00	1,67E-01	2,449	IFITM3,IFNG,PSMB8,STAT1,TAP1,IRF1
CXCR4 Signaling	2,51E00	8,72E-02	1,604	ITPR2,CD4,GNG2,RHOH,ADCY9,PIK3C3,IRS1,GNAO1,ADCY1,LYN,AKT3,PRKCH,ADCY8,ADCY7,PRKD3
Factors Promoting Cardiogenesis in Vertebrates	2,51E00	1,09E-01	NaN	WNT3,TGFBR3,BMP3,PRKCH,BMP7,FZD1,ACVR1C,PRKD3,WNT11,LRP1
CCR5 Signaling in Macrophages	2,44E00	1,06E-01	NaN	CD3G,CD3E,CACNA1B,CD4,GNG2,CACNA1H,PRKCH,CCL5,PRKD3,CACNA1A
Osteoarthritis Pathway	2,41E00	8,06E-02	1,807	SIK3,TIMP3,SPP1,ITLN1,ITGA5,CASP4,FZD1,IL18RAP,SLC39A8,TLR2,RUNX2,DDR2,TNFRSF1B,ADAMTS5,P2RX7,LRP1,ITGA4
GM-CSF Signaling	2,37E00	1,11E-01	1,000	ETS1,IRS1,PIK3C3,CISH,LYN,AKT3,BCL2A1,STAT1,CAMK2B
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2,36E00	8,16E-02	1,500	IFNG,MAP3K13,RHOH,IRF1,TLR2,LYZ,PIK3C3,IRS1,AKT3,PRKCH,SERPINA1,IRF8,STAT1,JAK3,TNFRSF1B,PRKD3
Human Embryonic Stem Cell Pluripotency	2,35E00	8,97E-02	NaN	KLK3,WNT3,PIK3C3,IRS1,BMP3,WNT4,AKT3,BMP7,FGFRL1,FZD1,WNT11,PDGFB,WNT5A
Endothelin-1 Signaling	2,29E00	8,04E-02	0,000	PLA2G16,ITPR2,PLA2G10,CASP4,ADCY9,PLA2G2F,PIK3C3,IRS1,GNAO1,SHC2,PLA2G5,ADCY1,PRKCH,ADCY8,ADCY7,PRKD3
MIF Regulation of Innate Immunity	2,26E00	1,43E-01	0,816	MIF,PLA2G2F,PLA2G10,PLA2G5,CD14,CD74
Superpathway of Inositol Phosphate Compounds	2,25E00	7,59E-02	0,943	FYN,PTPN7,TRAT1,PTPRF,PTPRC,CD28,LCK,TNS3,CD80,NUDT11,PIK3C3,IRS1,ICOS,DUSP23,DUSP12,PTPRN,PIP4K2A,PTPN22
CREB Signaling in Neurons	2,25E00	7,76E-02	-0,577	PRKACB,ITPR2,GNG2,CACNA1H,CACNA1A,ADCY9,CACNA1B,PIK3C3,IRS1,ADCY1,GNAO1,AKT3,PRKCH,ADCY8,PRKD3,ADCY7,CAMK2B
Serotonin Receptor Signaling	2,21E00	1,4E-01	NaN	ADCY9,MAOB,PTS,ADCY1,ADCY8,ADCY7
Glutamate Receptor Signaling	2,19E00	1,23E-01	NaN	HOMER2,GLS,GNG2,SLC1A3,SLC1A2,SLC38A1,HOMER3
GNRH Signaling	2,16E00	8,24E-02	-0,905	PRKACB,ADCY9,ITPR2,CACNA1B,MAP3K13,ADCY1,GNG2,CACNA1H,PRKCH,ADCY8,PRKD3,ADCY7,CACNA1A,CAMK2B
Leptin Signaling in Obesity	2,14E00	1,02E-01	NaN	PRKACB,ADCY9,IRS1,PIK3C3,ADCY1,AKT3,ADCY8,ADCY7,GHRL
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	2,13E00	1,1E-01	0,000	PRKACB,ADCY9,ITPR2,GLP1R,ADCY1,SST,ADCY8,ADCY7
Role of NFAT in Cardiac Hypertrophy	2,12E00	7,52E-02	-1,213	PRKACB,ITPR2,GNG2,CACNA1H,CACNA1A,ADCY9,CACNA1B,PIK3C3,IRS1,ADCY1,AKT3,PRKCH,SLC8A1,ADCY8,PRKD3,ADCY7,CAMK2B
Wnt/β-catenin Signaling	2,12E00	8,14E-02	-0,577	WNT3,TGFBR3,FZD1,UBD,DKK3,GNAO1,WNT4,AKT3,SFRP5,KREMEN2,ACVR1C,WNT11,LRP1,WNT5A
iNOS Signaling	2,11E00	1,33E-01	2,236	IFNG,MYD88,CD14,STAT1,JAK3,IRF1
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2,08E00	8,63E-02	2,111	TLR2,IFNG,NOD2,MYD88,IRS1,PIK3C3,TLR1,TLR6,NOD1,PRKCH,CCL5,PRKD3
FAT10 Cancer Signaling Pathway	2,07E00	1,3E-01	1,633	UBD,IFNG,TGFBR3,AKT3,TNFRSF1B,ACVR1C
Agrin Interactions at Neuromuscular Junction	2,06E00	1,07E-01	1,890	LAMC1,ITGB2,ITGA5,NRG4,ITGAL,ACTA1,ITGB3,ITGA4
P2Y Purigenic Receptor Signaling Pathway	2,06E00	8,57E-02	0,302	PRKACB,ADCY9,IRS1,PIK3C3,ADCY1,GNG2,AKT3,PRKCH,ADCY8,PRKD3,ADCY7,ITGB3
Cardiac β-adrenergic Signaling	2,06E00	8,57E-02	-0,632	PDE8A,PRKACB,ADCY9,ADCY1,PDE1B,GNG2,PKIA,PDE11A,SLC8A1,ADCY8,ADCY7,CACNA1A
IL-9 Signaling	2,02E00	1,28E-01	1,342	IL9R,IRS1,PIK3C3,CISH,STAT1,JAK3
Dopamine Receptor Signaling	1,99E00	1,04E-01	0,000	PRKACB,ADCY9,MAOB,PTS,ADCY1,NCS1,ADCY8,ADCY7
Corticotropin Releasing Hormone Signaling	1,99E00	8,39E-02	0,302	PRKACB,ADCY9,ITPR2,CACNA1B,ADCY1,GNAO1,CACNA1H,PRKCH,ADCY8,ADCY7,PRKD3,CACNA1A
VDR/RXR Activation	1,96E00	1,03E-01	1,134	IFNG,SPP1,RUNX2,CD14,PRKCH,CCL5,NCOR2,PRKD3
Role of JAK1 and JAK3 in γc Cytokine Signaling	1,96E00	1,03E-01	NaN	IL7R,IL4R,IRS1,IL9R,PIK3C3,JAK3,STAT1,IL7
Apelin Endothelial Signaling Pathway	1,96E00	8,66E-02	0,905	ADCY9,ICAM1,IRS1,PIK3C3,ADCY1,GNAO1,AKT3,PRKCH,ADCY8,PRKD3,ADCY7
Systemic Lupus Erythematosus Signaling	1,94E00	7,2E-02	NaN	CD40LG,CD3E,HLA-A,NFATC1,PTPRC,HLA-G,CD28,CD3G,LCK,CD80,CD72,PIK3C3,IRS1,LAT,LYN,AKT3,PRPF40B
Relaxin Signaling	1,94E00	7,98E-02	0,333	PDE8A,PRKACB,ADCY9,IRS1,PIK3C3,ADCY1,PDE1B,GNAO1,GNG2,AKT3,ADCY8,PDE11A,ADCY7
Endocannabinoid Developing Neuron Pathway	1,94E00	8,59E-02	1,265	PRKACB,ADCY9,IRS1,PIK3C3,ADCY1,GNAO1,GNG2,AKT3,MGLL,ADCY8,ADCY7
VEGF Family Ligand-Receptor Interactions	1,9E00	9,38E-02	0,000	NRP2,PLA2G2F,PLA2G10,IRS1,PIK3C3,PLA2G5,AKT3,PRKCH,PRKD3
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	1,89E00	8,46E-02	1,000	WNT3,IRS1,PIK3C3,BMP3,AKT3,WNT4,BMP7,FZD1,JAK3,WNT11,WNT5A
Tumoricidal Function of Hepatic Natural Killer Cells	1,88E00	1,67E-01	NaN	SERPINB9,PRF1,ICAM1,ITGAL
Complement System	1,86E00	1,35E-01	NaN	C4A/C4B,C1R,ITGB2,ITGAM,C2
Eumelanin Biosynthesis	1,85E00	4E-01	NaN	MIF,DCT
Lysine Degradation V	1,85E00	4E-01	NaN	PIPOX,ALDH7A1
Glutamate Degradation III (via 4-aminobutyrate)	1,85E00	4E-01	NaN	GAD2,ABAT
STAT3 Pathway	1,84E00	8,33E-02	0,816	IL7R,IL4R,GHR,IL3RA,IL12RB1,IL9R,TGFBR3,CISH,IL27RA,PDGFB,IL18RAP
NF-κB Signaling	1,82E00	7,49E-02	2,673	TLR2,PRKACB,LCK,CD40LG,GHR,MYD88,IRS1,PIK3C3,TGFBR3,TLR6,TLR1,ZAP70,AKT3,TNFRSF1B
Semaphorin Signaling in Neurons	1,78E00	1,13E-01	NaN	FYN,DPYSL3,PLXNB1,DPYSL5,RHOH,SEMA7A
Clathrin-mediated Endocytosis Signaling	1,76E00	7,18E-02	NaN	FGF16,F2R,ITGA5,PDGFB,ITGB7,ITGB3,UBD,DNM1,ITGB2,LYZ,PIK3C3,IRS1,SERPINA1,SH3KBP1,ACTA1
G Beta Gamma Signaling	1,74E00	8,4E-02	0,000	PRKACB,CACNA1B,ADCY1,GNAO1,GNG2,CACNA1H,AKT3,PRKCH,PRKD3,CACNA1A
Agranulocyte Adhesion and Diapedesis	1,73E00	7,29E-02	NaN	ICAM1,MMP28,ITGA5,CCL5,CLDN6,Cxcl9,ITGB7,SELPLG,ITGB2,CLDN4,Ccl6,ACTA1,ITGA4,MSN
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	1,72E00	9,3E-02	NaN	CD3G,FYN,CD28,CD80,CD3E,LAT,ZAP70,NFATC1
Breast Cancer Regulation by Stathmin1	1,71E00	7,08E-02	NaN	PRKACB,ARHGEF4,ITPR2,GNG2,ADCY9,PIK3C3,IRS1,ADCY1,PRKCH,ADCY8,ARHGEF9,ADCY7,ARHGEF10,PRKD3,CAMK2B
HGF Signaling	1,7E00	8,26E-02	0,707	ETS1,IRS1,MAP3K13,PIK3C3,AKT3,ITGA5,PRKCH,PRKD3,ELK3,ITGA4
Ephrin Receptor Signaling	1,67E00	7,34E-02	1,667	FYN,WAS,EPHA1,GNAO1,GNG2,SH2D3C,EFNA3,AKT3,ITGA5,DOK1,PDGFB,EFNA4,ITGA4
Basal Cell Carcinoma Signaling	1,66E00	9,72E-02	-1,342	WNT3,BMP3,WNT4,BMP7,FZD1,WNT11,WNT5A
Hepatic Cholestasis	1,64E00	7,5E-02	NaN	PRKACB,IFNG,ADCY9,MYD88,ADCY1,CD14,PRKCH,TNFRSF1B,ADCY8,PRKD3,ADCY7,IL18RAP
